,title,day,date,place_cd,place,race_no,race_type,distance,deadline,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6
0,九州スポーツ杯,5,2020-11-25,20,若松,1,一般戦,1800,15:15,4868,5085,2958,4277,4164,5071,松本峻,中村栄治,井川正人,金田大輔,岩永節也,野見山拓,福岡,福井,長崎,岡山,長崎,福岡,B2,B1,B1,B1,B1,B2,29,21,62,37,38,26,54,52,51,50,53,52,3.92,3.21,3.49,4.52,4.14,2.20,15.87,16.90,17.07,24.49,19.80,5.00,3.19,0.00,4.00,4.80,3.70,2.25,11.54,0.00,23.08,26.67,16.22,6.25,2,34,46,20,58,3,26.67,7.69,33.33,53.33,30.77,14.29,39,13,75,66,57,68,30.95,21.84,27.03,40.22,39.08,36.71
1,九州スポーツ杯,5,2020-11-25,20,若松,2,一般戦,1800,15:44,5046,3866,3456,5050,5036,3873,松山裕基,木山誠一,松下潤,木下雄介,福田翔吾,別府昌樹,大阪,岡山,徳島,滋賀,大阪,広島,B1,B1,B1,B1,B1,A2,26,45,49,25,22,44,54,56,54,52,54,52,2.62,4.27,3.92,3.11,3.92,5.86,7.25,21.79,18.31,7.50,20.27,42.61,0.00,3.93,3.75,1.83,0.00,5.78,0.00,16.67,0.00,0.00,0.00,43.90,47,8,39,9,31,51,42.86,37.50,35.71,35.71,35.71,7.69,71,62,61,11,27,23,30.11,28.95,29.79,27.91,42.22,34.74
2,九州スポーツ杯,5,2020-11-25,20,若松,3,一般戦,1800,16:06,4833,3600,4176,4553,5105,4563,吉崎悠司,玄馬徹,樋口喜彦,坪口竜也,富田恕生,齋藤真之,福井,岡山,兵庫,長崎,福岡,岡山,B1,B1,B1,A2,B2,B1,33,50,38,31,22,32,53,51,52,53,53,53,3.88,4.54,4.09,5.51,1.76,4.17,18.60,26.42,24.53,36.13,1.39,21.00,0.00,3.64,4.30,5.85,1.78,4.33,0.00,18.18,20.00,41.03,0.00,20.00,35,61,60,59,19,56,33.33,33.33,23.08,33.33,16.67,15.38,43,12,65,48,34,63,27.47,32.22,42.86,39.77,35.29,27.17
3,九州スポーツ杯,5,2020-11-25,20,若松,4,一般戦,1800,16:32,4422,4487,4552,3617,3593,3333,永井亮次,三原司,杉山勝匡,竹田広樹,横井光弘,丸尾義孝,大阪,福岡,佐賀,佐賀,長崎,徳島,B1,B2,B1,B1,B1,A1,32,34,31,47,52,52,53,51,50,54,57,52,4.24,4.04,4.40,4.29,3.63,6.62,20.54,21.82,24.51,28.13,11.43,51.02,4.56,4.06,3.21,4.77,4.45,5.82,28.00,18.75,15.15,35.48,20.45,36.36,17,29,15,12,13,25,26.67,21.43,28.57,23.08,35.71,53.85,32,17,67,37,21,47,28.57,40.96,37.66,36.14,31.76,29.67
4,九州スポーツ杯,5,2020-11-25,20,若松,5,進入固定戦隊,1800,17:01,4099,4092,4164,3832,4958,4248,吉永則雄,岡部大輔,岩永節也,下田哲也,溝口海義,岡本大,大阪,佐賀,長崎,香川,福岡,長崎,A2,A2,B1,A2,B1,B1,41,39,38,46,25,38,53,52,53,54,53,56,5.96,5.97,4.14,5.31,4.85,4.47,41.07,41.38,19.80,25.95,25.19,19.54,6.38,5.96,3.70,5.56,4.21,4.60,50.00,48.15,16.22,23.08,17.86,27.91,41,21,58,40,7,6,38.46,69.23,30.77,28.57,28.57,15.38,14,26,57,40,38,18,34.09,30.68,39.08,28.75,25.97,26.51
5,九州スポーツ杯,5,2020-11-25,20,若松,6,一般戦,1800,17:28,3815,5050,3731,3872,5046,4411,森岡満郎,木下雄介,高濱芳久,岡田憲行,松山裕基,沢田昭宏,岡山,滋賀,広島,大阪,大阪,大阪,A2,B1,B1,A1,B1,A2,44,25,47,44,26,34,53,52,53,53,54,54,4.93,3.11,5.56,6.26,2.62,4.91,28.36,7.50,36.59,45.31,7.25,24.83,5.67,1.83,6.48,6.93,0.00,0.00,33.33,0.00,47.50,56.34,0.00,0.00,54,9,10,18,47,27,68.75,35.71,16.67,35.71,42.86,21.43,31,11,59,60,71,54,37.80,27.91,21.25,43.01,30.11,30.11
6,九州スポーツ杯,5,2020-11-25,20,若松,7,一般戦,1800,18:02,3568,4259,3866,3600,4382,4762,木村光宏,真庭明志,木山誠一,玄馬徹,高山智至,藤原啓史,香川,長崎,岡山,岡山,滋賀,岡山,A2,A2,B1,B1,A2,A1,49,36,45,50,36,30,53,52,56,51,57,50,5.57,6.29,4.27,4.54,5.52,6.83,35.71,45.89,21.79,26.42,32.56,50.33,6.16,5.63,3.93,3.64,4.67,5.63,46.88,26.32,16.67,18.18,11.11,43.75,57,49,8,61,22,52,35.71,50.00,37.50,33.33,41.67,33.33,44,22,62,12,52,30,26.14,40.91,28.95,32.22,29.89,20.78
7,九州スポーツ杯,5,2020-11-25,20,若松,8,エイトビート,1800,18:36,3828,3617,3593,4833,3456,5105,明石正之,竹田広樹,横井光弘,吉崎悠司,松下潤,富田恕生,兵庫,佐賀,長崎,福井,徳島,福岡,A1,B1,B1,B1,B1,B2,47,47,52,33,49,22,51,54,57,53,54,53,6.12,4.29,3.63,3.88,3.92,1.76,44.35,28.13,11.43,18.60,18.31,1.39,7.14,4.77,4.45,0.00,3.75,1.78,52.38,35.48,20.45,0.00,0.00,0.00,62,12,13,35,39,19,26.67,23.08,35.71,33.33,35.71,16.67,58,37,21,43,61,34,29.07,36.14,31.76,27.47,29.79,35.29
8,九州スポーツ杯,5,2020-11-25,20,若松,9,一般特選,1800,19:10,4544,3832,5036,5071,4099,4552,松田大志,下田哲也,福田翔吾,野見山拓,吉永則雄,杉山勝匡,福岡,香川,大阪,福岡,大阪,佐賀,A1,A2,B1,B2,A2,B1,32,46,22,26,41,31,51,54,54,52,53,50,7.53,5.31,3.92,2.20,5.96,4.40,62.18,25.95,20.27,5.00,41.07,24.51,5.83,5.56,0.00,2.25,6.38,3.21,33.33,23.08,0.00,6.25,50.00,15.15,32,40,31,3,41,15,15.38,28.57,35.71,14.29,38.46,28.57,51,40,27,68,14,67,24.14,28.75,42.22,36.71,34.09,37.66
9,九州スポーツ杯,5,2020-11-25,20,若松,10,選抜戦,1800,19:43,4092,3872,4259,4422,4487,4176,岡部大輔,岡田憲行,真庭明志,永井亮次,三原司,樋口喜彦,佐賀,大阪,長崎,大阪,福岡,兵庫,A2,A1,A2,B1,B2,B1,39,44,36,32,34,38,52,53,52,53,51,52,5.97,6.26,6.29,4.24,4.04,4.09,41.38,45.31,45.89,20.54,21.82,24.53,5.96,6.93,5.63,4.56,4.06,4.30,48.15,56.34,26.32,28.00,18.75,20.00,21,18,49,17,29,60,69.23,35.71,50.00,26.67,21.43,23.08,26,60,22,32,17,65,30.68,43.01,40.91,28.57,40.96,42.86
10,九州スポーツ杯,5,2020-11-25,20,若松,11,選抜戦,1800,20:09,3333,3828,4563,3731,3815,3568,丸尾義孝,明石正之,齋藤真之,高濱芳久,森岡満郎,木村光宏,徳島,兵庫,岡山,広島,岡山,香川,A1,A1,B1,B1,A2,A2,52,47,32,47,44,49,52,51,53,53,53,53,6.62,6.12,4.17,5.56,4.93,5.57,51.02,44.35,21.00,36.59,28.36,35.71,5.82,7.14,4.33,6.48,5.67,6.16,36.36,52.38,20.00,47.50,33.33,46.88,25,62,56,10,54,57,53.85,26.67,15.38,16.67,68.75,35.71,47,58,63,59,31,44,29.67,29.07,27.17,21.25,37.80,26.14
11,九州スポーツ杯,5,2020-11-25,20,若松,12,優勝戦,1800,20:35,3635,3623,4079,3257,4096,4155,石田政吾,深川真二,出畑孝典,田頭実,石橋道友,長野壮志,福井,佐賀,福岡,福岡,長崎,福岡,A1,A1,A2,A2,A1,A1,50,46,41,53,39,39,52,50,53,50,53,58,6.15,7.42,6.13,6.93,6.35,6.28,53.04,58.74,43.97,57.73,46.83,44.74,6.77,6.63,5.90,7.25,6.75,6.28,56.41,43.75,45.35,65.66,59.38,46.53,38,33,11,44,36,37,25.00,35.71,30.77,0.00,64.29,33.33,55,29,35,73,25,46,27.55,28.89,30.12,28.21,31.11,46.07
12,スポーツニッポン杯,5,2020-11-25,16,児島,1,朝得ガァ〜コ,1800,10:27,3458,3539,3283,3661,5109,3775,東健介,金子順一,窪田好弘,柳瀬興志,川崎智稔,泉啓文,岡山,山口,福井,山口,岡山,岡山,A2,B1,B1,B1,B2,B1,54,52,53,51,21,46,52,53,55,57,49,60,4.81,4.73,4.23,5.14,1.73,4.40,28.46,25.00,18.89,32.17,1.82,21.55,5.87,4.78,0.00,5.13,1.44,4.93,42.98,24.32,0.00,17.95,0.00,28.97,54,30,33,42,16,40,34.01,30.41,32.84,29.90,44.50,38.35,27,71,40,31,50,19,39.56,25.38,30.23,39.76,28.46,33.14
13,スポーツニッポン杯,5,2020-11-25,16,児島,2,一般,1800,10:54,3561,4226,3170,3566,4047,5170,池田真治,村田浩司,谷口勝,川添英正,吉永浩則,佐藤太亮,岡山,山口,大阪,福岡,大阪,岡山,B1,B1,B2,A2,B1,B2,52,38,57,50,40,19,52,55,51,51,55,51,4.27,4.34,3.07,4.88,3.97,0.00,22.62,21.88,14.29,31.06,14.43,0.00,4.09,4.36,4.39,5.00,5.24,0.00,17.48,22.73,21.43,31.25,28.57,0.00,59,19,57,28,38,29,39.50,43.50,29.50,33.99,35.64,35.92,45,12,47,37,30,33,36.87,38.07,31.93,32.35,40.76,33.89
14,スポーツニッポン杯,5,2020-11-25,16,児島,3,一般,1800,11:21,4126,4180,4425,4971,3725,3543,吉本玲緒,上野秀和,大井清貴,秦直也,向達哉,福田雅一,広島,福岡,山口,岡山,大阪,香川,B1,B1,B1,B2,B1,A2,41,37,35,28,49,52,58,56,54,55,52,55,4.17,4.31,4.58,2.68,4.38,5.36,24.30,23.14,25.00,8.51,22.97,37.27,5.29,4.55,5.16,1.90,4.78,5.56,40.00,25.00,31.58,2.74,29.63,40.00,47,53,58,23,36,27,35.32,36.59,40.80,31.22,34.50,31.40,16,55,28,46,32,18,29.63,34.83,39.66,32.05,33.89,43.75
15,スポーツニッポン杯,5,2020-11-25,16,児島,4,一般,1800,11:48,4196,3741,4562,3833,3307,3350,田中太一,松尾基成,阪本勇介,中辻博訓,上瀧和則,藤本佳史,佐賀,福岡,岡山,福井,佐賀,山口,B1,B1,B1,A1,B2,A2,38,46,33,46,52,52,53,56,54,55,53,53,4.31,4.16,4.85,7.11,5.13,5.46,24.36,19.57,23.02,58.06,40.00,31.97,4.79,3.70,5.16,7.04,0.00,5.23,33.33,15.91,28.00,59.26,0.00,32.26,44,51,66,18,41,61,41.87,39.68,29.27,37.14,33.65,33.01,22,52,61,62,17,23,34.51,38.19,33.33,38.76,30.00,34.50
16,スポーツニッポン杯,5,2020-11-25,16,児島,5,日替艇食戦,1800,12:15,3882,4567,4172,4271,3539,4257,新田智彰,上村慎太,森定晃史,川崎公靖,金子順一,古川健,大阪,山口,岡山,広島,山口,広島,A2,B1,A1,B1,B1,B1,47,32,38,38,52,37,55,51,50,52,53,51,5.98,4.22,6.26,4.50,4.73,5.18,46.09,20.88,45.54,23.89,25.00,33.04,0.00,5.46,6.49,5.11,4.78,4.00,0.00,38.46,44.36,30.43,24.32,14.81,35,62,63,45,30,39,41.95,33.00,37.50,32.04,30.41,48.80,44,72,36,65,71,14,26.03,36.57,31.94,40.66,25.38,32.94
17,スポーツニッポン杯,5,2020-11-25,16,児島,6,昼得クラリス,1800,12:43,3915,3158,4469,3775,3561,4359,繁野谷圭,島川光男,土山卓也,泉啓文,池田真治,横川聖志,大阪,広島,福井,岡山,岡山,徳島,A1,A1,A2,B1,B1,B1,46,55,33,46,52,36,52,52,54,60,52,55,6.23,6.29,5.95,4.40,4.27,5.38,37.40,47.22,40.80,21.55,22.62,36.36,5.90,6.13,5.64,4.93,4.09,6.03,35.00,52.63,38.46,28.97,17.48,48.28,43,64,48,40,59,32,34.33,27.32,42.65,38.35,39.50,28.85,29,43,56,19,45,60,44.20,37.93,36.31,33.14,36.87,34.68
18,スポーツニッポン杯,5,2020-11-25,16,児島,7,一般,1800,13:14,3462,4047,3663,4704,4425,3107,竹上真司,吉永浩則,木山和幸,河野大,大井清貴,平岡重典,岡山,大阪,広島,徳島,山口,大阪,A1,B1,B1,A2,B1,B1,53,40,50,32,35,57,50,55,50,51,54,51,6.14,3.97,5.48,5.73,4.58,5.37,44.37,14.43,33.65,40.35,25.00,31.58,6.29,5.24,6.78,6.44,5.16,0.00,48.13,28.57,51.85,51.16,31.58,0.00,50,38,49,14,58,12,30.29,35.64,29.27,30.20,40.80,28.50,70,30,54,42,28,20,40.12,40.76,38.69,29.20,39.66,33.52
19,スポーツニッポン杯,5,2020-11-25,16,児島,8,一般,1800,13:45,4583,3725,3566,4166,3741,3541,古田祐貴,向達哉,川添英正,吉田拡郎,松尾基成,三嶌誠司,香川,大阪,福岡,岡山,福岡,香川,A2,B1,A2,A1,B1,A1,31,49,50,38,46,52,50,52,51,52,56,53,5.76,4.38,4.88,7.01,4.16,6.65,37.41,22.97,31.06,47.62,19.57,50.36,5.25,4.78,5.00,6.94,3.70,7.06,40.00,29.63,31.25,51.91,15.91,56.25,25,36,28,52,51,34,30.24,34.50,33.99,38.05,39.68,29.13,13,32,37,67,52,39,33.09,33.89,32.35,30.66,38.19,31.34
20,スポーツニッポン杯,5,2020-11-25,16,児島,9,一般,1800,14:15,3574,3307,3661,4416,4226,4651,大神康司,上瀧和則,柳瀬興志,三宅健太,村田浩司,佐藤大騎,福岡,佐賀,山口,広島,山口,大阪,A2,B2,B1,A2,B1,B1,48,52,51,33,38,35,53,53,57,54,55,52,5.64,5.13,5.14,5.48,4.34,3.08,40.00,40.00,32.17,34.38,21.88,12.82,6.58,0.00,5.13,4.76,4.36,4.05,54.84,0.00,17.95,28.00,22.73,21.05,13,41,42,67,19,70,43.33,33.65,29.90,33.98,43.50,38.86,58,17,31,57,12,34,27.01,30.00,39.76,32.62,38.07,25.36
