,title,day,date,place_cd,place,race_no,race_type,distance,deadline,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6
0,BTS松浦開設記念,5,2021-09-10,24,大村,1,一般,1800,15:15,5094,3970,3660,4744,4797,4957,生田波美,亀山高雅,長谷川親,伊藤玲奈,中山将,竹之内極,東京,群馬,香川,福岡,三重,福岡,B1,B1,B1,B2,B1,B1,19,45,52,28,29,26,50,54,58,44,55,56,4.35,3.87,3.70,4.67,5.44,4.32,21.79,13.33,13.95,19.05,36.76,21.78,0.00,6.00,3.88,4.18,0.00,3.71,0.00,40.74,11.54,9.09,0.00,14.58,45,24,46,61,39,23,47.22,35.90,14.71,33.33,37.14,32.43,47,61,66,76,62,64,27.27,22.58,18.52,36.11,28.57,40.00
1,BTS松浦開設記念,5,2021-09-10,24,大村,3,一般,1800,16:17,3906,4104,3952,4781,4948,3559,飯山晃三,木下陽介,中澤和志,西舘果里,木場悠介,水長照雄,長崎,東京,埼玉,東京,長崎,山口,B1,A2,A1,B1,B1,B1,43,42,45,34,28,53,58,55,53,51,53,52,4.79,4.96,7.00,4.39,5.61,4.49,30.34,33.33,60.32,19.48,32.26,25.97,5.51,3.29,5.44,5.20,4.87,4.13,37.50,0.00,22.22,25.00,27.78,17.65,62,19,44,26,29,52,33.33,32.56,27.78,44.44,43.59,16.67,16,63,69,21,31,72,16.67,27.27,32.00,48.15,37.84,21.88
2,BTS松浦開設記念,5,2021-09-10,24,大村,4,一般,1800,16:43,5092,4857,4358,4914,4661,4181,篠原晟弥,加藤翔馬,松本庸平,吉田裕平,中島昂章,花本夏樹,福岡,兵庫,三重,愛知,佐賀,三重,B1,A2,B1,A2,B1,B1,20,24,37,24,29,38,51,55,51,51,51,54,3.39,6.05,4.09,7.00,4.95,4.63,10.45,40.59,23.89,54.84,25.45,21.59,2.17,5.90,4.38,5.68,4.96,0.00,4.17,51.72,19.05,31.58,26.67,0.00,57,54,33,50,51,27,58.33,9.09,45.00,38.89,27.78,31.58,73,41,29,34,39,68,27.59,19.51,23.53,34.29,48.28,40.54
3,BTS松浦開設記念,5,2021-09-10,24,大村,5,一般,1800,17:11,3988,4797,4650,3837,4113,5111,古川誠之,中山将,中山雄太,秋山広一,木村浩士,三村岳人,愛知,三重,愛知,香川,群馬,岡山,A1,B1,A2,A2,A2,B1,43,29,37,46,41,21,55,55,52,49,54,51,5.87,5.44,6.37,6.70,5.06,2.82,38.30,36.76,44.92,52.46,27.62,3.51,6.78,0.00,5.25,6.98,4.82,0.00,55.56,0.00,30.00,54.39,21.21,0.00,22,39,58,28,43,48,43.24,37.14,35.29,32.50,21.88,29.41,40,62,46,71,30,35,22.22,28.57,47.37,31.43,32.43,33.33
4,BTS松浦開設記念,5,2021-09-10,24,大村,6,一般,1800,17:40,4069,4618,3277,3970,3522,5162,山本修一,乃村康友,齋藤勇,亀山高雅,長溝一生,松尾怜実,岡山,三重,東京,群馬,佐賀,福岡,A2,A2,B1,B1,A1,B2,41,38,55,45,53,21,52,54,51,54,52,48,6.38,5.66,4.38,3.87,5.73,1.43,47.79,38.71,14.47,13.33,38.46,0.00,5.62,4.22,4.67,6.00,6.01,1.30,38.46,11.11,16.67,40.74,44.29,0.00,41,35,64,24,25,40,41.67,39.53,52.78,35.90,51.28,40.00,15,12,13,61,25,54,47.37,15.15,30.56,22.58,27.50,47.62
5,BTS松浦開設記念,5,2021-09-10,24,大村,7,一般,1800,18:09,4313,4744,5094,4804,5192,4781,西村美智,伊藤玲奈,生田波美,高田ひか,中尾優香,西舘果里,香川,福岡,東京,三重,福岡,東京,A1,B2,B1,A2,B2,B1,37,28,19,27,20,34,50,44,50,47,48,51,6.16,4.67,4.35,7.43,1.17,4.39,41.23,19.05,21.79,61.73,0.00,19.48,5.66,4.18,0.00,6.68,0.00,5.20,42.11,9.09,0.00,50.00,0.00,25.00,55,61,45,65,56,26,21.21,33.33,47.22,29.73,37.14,44.44,44,76,47,36,23,21,33.33,36.11,27.27,39.47,37.84,48.15
6,BTS松浦開設記念,5,2021-09-10,24,大村,9,一般特選,1800,19:12,3837,4914,3973,3952,4618,4857,秋山広一,吉田裕平,崎利仁,中澤和志,乃村康友,加藤翔馬,香川,愛知,群馬,埼玉,三重,兵庫,A2,A2,B1,A1,A2,A2,46,24,45,45,38,24,49,51,54,53,54,55,6.70,7.00,4.48,7.00,5.66,6.05,52.46,54.84,23.68,60.32,38.71,40.59,6.98,5.68,6.40,5.44,4.22,5.90,54.39,31.58,50.00,22.22,11.11,51.72,28,50,36,44,35,54,32.50,38.89,34.21,27.78,39.53,9.09,71,34,48,69,12,41,31.43,34.29,18.92,32.00,15.15,19.51
7,BTS松浦開設記念,5,2021-09-10,24,大村,10,特別選抜戦,1800,19:43,4948,4957,3988,4661,4069,4241,木場悠介,竹之内極,古川誠之,中島昂章,山本修一,大串重幸,長崎,福岡,愛知,佐賀,岡山,長崎,B1,B1,A1,B1,A2,B1,28,26,43,29,41,36,53,56,55,51,52,53,5.61,4.32,5.87,4.95,6.38,4.95,32.26,21.78,38.30,25.45,47.79,31.08,4.87,3.71,6.78,4.96,5.62,5.34,27.78,14.58,55.56,26.67,38.46,36.65,29,23,22,51,41,30,43.59,32.43,43.24,27.78,41.67,52.63,31,64,40,39,15,67,37.84,40.00,22.22,48.28,47.37,23.68
8,BTS松浦開設記念,5,2021-09-10,24,大村,11,特別選抜戦,1800,20:12,3522,4804,3906,4313,4358,3902,長溝一生,高田ひか,飯山晃三,西村美智,松本庸平,蜷川哲平,佐賀,三重,長崎,香川,三重,東京,A1,A2,B1,A1,B1,A2,53,27,43,37,37,44,52,47,58,50,51,54,5.73,7.43,4.79,6.16,4.09,5.36,38.46,61.73,30.34,41.23,23.89,33.73,6.01,6.68,5.51,5.66,4.38,0.00,44.29,50.00,37.50,42.11,19.05,0.00,25,65,62,55,33,60,51.28,29.73,33.33,21.21,45.00,20.59,25,36,16,44,29,22,27.50,39.47,16.67,33.33,23.53,41.18
9,BTS松浦開設記念,5,2021-09-10,24,大村,12,優勝戦,1800,20:45,4174,4468,4315,3699,4642,4633,赤坂俊輔,大池佑来,山崎昂介,富永正人,松尾夏海,森智也,長崎,東京,長崎,埼玉,香川,兵庫,A1,A1,B1,B1,A1,B1,38,34,37,48,29,32,51,52,53,54,46,49,7.45,6.63,5.40,5.10,6.22,5.85,60.16,51.82,36.11,31.03,45.78,34.57,7.43,6.23,5.03,5.22,0.00,5.25,56.11,46.15,30.09,33.33,0.00,31.25,49,63,34,59,31,47,37.84,48.39,39.02,55.56,11.11,31.43,33,32,11,70,27,20,38.89,28.57,32.43,21.43,22.22,32.26
