,title,day,date,place_cd,place,race_no,race_type,distance,deadline,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6
0,スポーツ報知杯,5,2020-02-22,24,大村,1,一般,1800,15:15,4948,5031,5048,4724,5107,4747,木場悠介,渡辺空依,眞鳥康太,吉田祐貴,松本真広,山戸信二,長崎,福岡,長崎,佐賀,福岡,長崎,B1,B2,B1,B2,B2,B1,27,22,25,34,21,34,51,54,53,52,54,52,4.42,1.88,2.98,3.77,1.22,3.95,18.99,2.94,2.04,14.29,0.00,13.64,3.62,1.35,2.56,3.47,1.71,4.45,13.74,0.00,0.00,16.67,0.00,23.97,15,22,38,43,29,36,0.00,0.00,0.00,0.00,0.00,0.00,61,60,16,20,32,41,38.36,32.61,25.56,25.56,37.93,35.42
1,スポーツ報知杯,5,2020-02-22,24,大村,2,一般,1800,15:38,4393,3501,3236,5071,3998,3352,田中孝明,川上昇平,田上晋六,野見山拓,冨成謙児,小川晃司,福岡,長崎,東京,福岡,佐賀,福岡,B1,A2,B1,B2,A2,B1,33,50,57,25,40,51,56,54,50,53,52,50,4.78,5.20,4.65,2.04,5.34,5.06,23.60,34.17,26.58,3.70,32.11,22.40,4.42,5.45,4.00,1.25,5.27,4.97,19.23,35.66,18.18,0.00,30.61,20.59,30,31,12,56,54,16,0.00,0.00,0.00,0.00,0.00,0.00,54,44,72,40,37,66,30.66,31.29,28.57,34.78,32.65,34.67
2,スポーツ報知杯,5,2020-02-22,24,大村,3,一般,1800,16:02,3627,4919,4989,4466,3826,3459,井上恵一,吉田翔悟,石原翼,南佑典,村田修次,中野和裕,福岡,長崎,静岡,三重,東京,佐賀,B1,B1,B1,A2,A1,B1,50,29,22,33,46,53,51,52,51,51,53,53,4.33,4.08,4.83,6.35,6.46,5.00,29.49,13.04,29.63,47.24,43.70,30.93,4.93,3.36,0.00,4.86,7.25,3.56,34.48,10.78,0.00,28.57,58.33,16.67,35,19,25,44,55,33,0.00,0.00,0.00,0.00,0.00,0.00,21,29,49,69,23,68,28.89,39.31,27.07,30.43,26.36,23.81
3,スポーツ報知杯,5,2020-02-22,24,大村,4,一般,1800,16:29,4754,3569,3319,3777,4735,4298,松尾充,増田進,山崎義明,樋口亮,角山雄哉,宮下元胤,三重,東京,埼玉,長崎,兵庫,愛知,A2,B1,A1,A2,B1,B1,31,48,52,44,29,37,50,55,51,51,54,55,6.23,4.70,6.25,4.63,4.56,5.79,48.48,25.93,40.00,25.71,18.57,37.50,4.92,4.88,5.00,6.68,2.60,7.00,23.08,27.50,25.00,53.25,0.00,57.14,23,39,48,21,27,41,0.00,0.00,0.00,0.00,0.00,0.00,15,46,19,39,27,71,35.92,34.75,33.33,35.33,34.25,27.91
4,スポーツ報知杯,5,2020-02-22,24,大村,5,一般,1800,16:57,4359,3243,3872,3992,4375,4842,横川聖志,佐野隆仁,岡田憲行,関口智久,照屋厚仁,山下昂大,徳島,大阪,大阪,埼玉,兵庫,岡山,A1,B1,A1,B1,A2,B1,35,55,43,41,35,27,55,53,52,54,50,53,5.45,4.27,6.64,4.97,5.61,4.64,32.67,20.63,51.09,25.64,41.24,27.40,5.97,0.00,7.14,5.40,6.73,3.77,38.71,0.00,57.14,33.33,57.58,13.33,34,45,49,57,20,28,0.00,0.00,0.00,0.00,0.00,0.00,64,74,70,22,24,31,29.93,30.66,32.39,18.18,30.53,45.21
5,スポーツ報知杯,5,2020-02-22,24,大村,6,夜ガチ戦一般,1800,17:25,4786,4152,5031,3200,4124,3352,佐藤博亮,深水慎一,渡辺空依,熊谷直樹,池田雄一,小川晃司,愛知,東京,福岡,東京,静岡,福岡,A2,A2,B2,A1,A2,B1,31,39,22,54,37,51,54,53,54,51,53,50,6.22,5.99,1.88,6.46,6.26,5.06,47.67,43.40,2.94,47.87,49.57,22.40,5.14,5.47,1.35,7.08,6.40,4.97,14.29,20.00,0.00,65.38,45.00,20.59,53,17,22,24,13,16,0.00,0.00,0.00,0.00,0.00,0.00,76,35,60,52,67,66,23.26,31.58,32.61,28.57,33.10,34.67
6,スポーツ報知杯,5,2020-02-22,24,大村,7,夜ドキ戦一般,1800,17:53,4340,4724,5071,3159,4201,4839,土性雅也,吉田祐貴,野見山拓,江口晃生,佐竹友樹,四宮与寛,三重,佐賀,福岡,群馬,埼玉,徳島,A2,B2,B2,A1,B1,B1,35,34,25,55,37,29,53,52,53,54,52,53,5.72,3.77,2.04,7.42,5.49,5.36,37.63,14.29,3.70,63.78,38.10,36.36,4.63,3.47,1.25,8.55,5.85,5.29,21.05,16.67,0.00,80.00,38.46,28.57,11,43,56,47,50,51,0.00,0.00,0.00,0.00,0.00,0.00,28,20,40,33,34,18,37.67,25.56,34.78,31.50,28.36,34.90
7,スポーツ報知杯,5,2020-02-22,24,大村,8,準優進出戦,1800,18:23,3992,3826,3265,4754,3412,4393,関口智久,村田修次,今村暢孝,松尾充,鈴木博,田中孝明,埼玉,東京,福岡,三重,埼玉,福岡,B1,A1,B2,A2,A1,B1,41,46,55,31,50,33,54,53,52,50,52,56,4.97,6.46,5.84,6.23,6.09,4.78,25.64,43.70,44.83,48.48,48.06,23.60,5.40,7.25,5.37,4.92,3.29,4.42,33.33,58.33,37.04,23.08,14.29,19.23,57,55,37,23,32,30,0.00,0.00,0.00,0.00,0.00,0.00,22,23,55,15,13,54,18.18,26.36,25.19,35.92,29.08,30.66
8,スポーツ報知杯,5,2020-02-22,24,大村,9,準優進出戦,1800,18:54,3319,3740,4747,3236,3627,4359,山崎義明,大澤普司,山戸信二,田上晋六,井上恵一,横川聖志,埼玉,群馬,長崎,東京,福岡,徳島,A1,A2,B1,B1,B1,A1,52,45,34,57,50,35,51,53,52,50,51,55,6.25,6.43,3.95,4.65,4.33,5.45,40.00,50.00,13.64,26.58,29.49,32.67,5.00,5.55,4.45,4.00,4.93,5.97,25.00,40.82,23.97,18.18,34.48,38.71,48,52,36,12,35,34,0.00,0.00,0.00,0.00,0.00,0.00,19,62,41,72,21,64,33.33,32.17,35.42,28.57,28.89,29.93
9,スポーツ報知杯,5,2020-02-22,24,大村,10,準優進出戦,1800,19:25,3200,4375,4786,3881,4259,4948,熊谷直樹,照屋厚仁,佐藤博亮,浦上拓也,真庭明志,木場悠介,東京,兵庫,愛知,大阪,長崎,長崎,A1,A2,A2,B1,A2,B1,54,35,31,47,36,27,51,50,54,54,52,51,6.46,5.61,6.22,5.38,5.45,4.42,47.87,41.24,47.67,35.34,30.08,18.99,7.08,6.73,5.14,4.41,6.50,3.62,65.38,57.58,14.29,23.53,52.20,13.74,24,20,53,40,26,15,0.00,0.00,0.00,0.00,0.00,0.00,52,24,76,57,73,61,28.57,30.53,23.26,39.19,36.99,38.36
