,title,day,date,place_cd,place,race_no,race_type,distance,deadline,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6
0,日本財団会長杯,3,2021-08-08,24,大村,1,予選,1800,15:19,4919,3571,4632,4789,4046,3936,吉田翔悟,寺本武司,長尾京志,古賀智之,谷村啓司,三瀬譲,長崎,長崎,福岡,福岡,福岡,長崎,B1,B1,B1,B1,B1,B1,30,49,32,32,41,43,52,54,52,52,53,56,4.88,3.49,4.80,4.29,4.88,2.92,31.07,15.58,22.37,21.11,25.00,12.33,5.06,4.42,4.94,3.85,6.29,4.41,30.88,27.71,23.53,19.23,42.86,25.36,21,16,33,20,23,76,48.39,14.29,44.83,11.54,39.29,25.00,74,61,75,63,72,55,29.41,30.77,34.62,23.53,23.08,48.15
1,日本財団会長杯,3,2021-08-08,24,大村,3,予選,1800,16:15,4232,3779,4693,3501,4329,4523,笠雅雄,原田幸哉,松下誉士,川上昇平,小松卓司,中村辰也,福岡,長崎,福岡,長崎,福岡,長崎,B1,A1,B1,B1,B1,A2,38,45,37,52,38,33,59,53,52,55,50,52,3.14,7.08,4.05,4.58,5.10,5.71,13.95,42.98,16.67,27.08,25.00,39.00,5.71,7.99,4.27,4.89,4.19,5.94,42.86,65.93,26.67,30.71,23.26,37.84,69,36,73,14,38,34,25.00,21.43,18.75,40.91,36.00,34.38,69,59,48,35,67,64,44.44,51.72,26.92,41.67,29.41,37.50
2,日本財団会長杯,3,2021-08-08,24,大村,4,予選,1800,16:39,4164,3853,4551,3843,2958,3527,岩永節也,岩崎正哉,三川昂暁,上之晃弘,井川正人,中嶋誠一,長崎,福岡,福岡,長崎,長崎,長崎,B1,A1,A2,B1,B2,A2,39,48,32,45,63,50,51,57,53,53,51,51,3.77,6.06,5.21,5.04,2.70,5.72,19.35,40.00,33.33,28.36,12.12,38.52,4.74,5.90,5.63,5.61,3.15,5.85,27.00,26.67,43.75,39.85,11.67,37.41,18,19,70,35,72,39,46.88,28.13,37.50,41.38,25.00,32.00,34,60,68,26,37,33,36.67,28.00,25.00,17.39,41.38,34.62
3,日本財団会長杯,3,2021-08-08,24,大村,5,予選,1800,17:08,3773,4096,4004,4966,4171,3571,津留浩一,石橋道友,山本浩輔,田川大貴,榎幸司,寺本武司,長崎,長崎,長崎,長崎,長崎,長崎,B1,A1,B1,B1,A1,B1,47,39,43,23,38,49,56,53,51,53,52,54,4.97,6.59,4.51,4.80,6.51,3.49,25.32,45.26,20.69,30.53,42.86,15.58,5.60,6.91,5.50,4.90,6.96,4.42,37.14,53.61,33.80,28.16,53.27,27.71,17,40,27,62,30,16,25.00,23.81,27.59,41.18,39.29,14.29,57,24,32,38,39,61,25.93,46.15,23.08,41.94,26.32,30.77
4,日本財団会長杯,3,2021-08-08,24,大村,6,予選,1800,17:36,2903,4553,4753,4497,4632,3944,山崎毅,坪口竜也,森照夫,桑原悠,長尾京志,山口裕二,福岡,長崎,福岡,長崎,福岡,長崎,B1,A1,B1,A1,B1,A1,62,32,33,34,32,42,49,54,53,49,52,52,4.77,5.96,4.61,7.06,4.80,6.47,27.87,34.58,22.22,53.92,22.37,43.86,4.75,6.30,5.04,7.70,4.94,7.04,31.25,42.16,24.00,63.29,23.53,54.70,37,75,29,12,33,22,26.92,33.33,40.00,32.00,44.83,43.33,66,50,62,45,75,47,18.75,25.93,16.67,32.14,34.62,10.53
5,日本財団会長杯,3,2021-08-08,24,大村,7,予選,1800,18:02,3349,4367,3151,4355,4315,2912,吉田一郎,山口修路,落合敬一,小川広大,山崎昂介,尾崎鉄也,長崎,福岡,長崎,福岡,長崎,長崎,A1,A2,B1,B1,B1,B1,53,35,57,37,37,65,52,51,56,55,53,56,6.89,4.16,4.38,4.43,5.46,3.83,56.90,24.00,24.66,22.92,37.84,19.28,6.71,5.22,4.62,4.08,5.03,4.63,51.02,33.33,23.85,15.38,29.13,26.79,61,13,31,11,28,26,33.33,24.00,14.81,52.00,30.00,50.00,43,36,51,65,52,58,39.39,46.67,41.67,37.50,44.83,36.00
6,日本財団会長杯,3,2021-08-08,24,大村,8,予選,1800,18:31,4485,4504,3906,4693,4403,3843,楠原正剛,前田将太,飯山晃三,松下誉士,木下大將,上之晃弘,福岡,福岡,長崎,福岡,福岡,長崎,A2,A1,B1,B1,A2,B1,35,33,43,37,36,45,57,53,59,52,52,53,5.30,7.20,4.61,4.05,5.68,5.04,35.53,53.27,25.88,16.67,35.80,28.36,5.09,6.68,5.59,4.27,5.00,5.61,33.33,52.63,38.69,26.67,25.00,39.85,24,63,64,73,71,35,41.38,41.18,64.71,18.75,6.67,41.38,31,44,56,48,49,26,44.44,19.23,20.83,26.92,36.67,17.39
7,日本財団会長杯,3,2021-08-08,24,大村,9,予選,1800,19:01,4096,4329,4803,4299,3936,4551,石橋道友,小松卓司,飯田庄吾,中島浩哉,三瀬譲,三川昂暁,長崎,福岡,福岡,長崎,長崎,福岡,A1,B1,B1,B1,B1,A2,39,38,27,38,43,32,53,50,57,56,56,53,6.59,5.10,3.46,5.08,2.92,5.21,45.26,25.00,12.82,25.84,12.33,33.33,6.91,4.19,4.55,4.66,4.41,5.63,53.61,23.26,24.14,26.87,25.36,43.75,40,38,68,15,76,70,23.81,36.00,50.00,50.00,25.00,37.50,24,67,40,53,55,68,46.15,29.41,25.93,30.77,48.15,25.00
8,日本財団会長杯,3,2021-08-08,24,大村,10,予選,1200,19:32,4497,4171,4919,4204,3853,4250,桑原悠,榎幸司,吉田翔悟,柴田大輔,岩崎正哉,藤川利文,長崎,長崎,長崎,福岡,福岡,福岡,A1,A1,B1,B1,A1,B1,34,38,30,38,48,38,49,52,52,52,57,56,7.06,6.51,4.88,4.02,6.06,3.96,53.92,42.86,31.07,21.67,40.00,23.75,7.70,6.96,5.06,4.50,5.90,4.45,63.29,53.27,30.88,33.33,26.67,24.24,12,30,21,74,19,25,32.00,39.29,48.39,18.75,28.13,53.33,45,39,74,46,60,71,32.14,26.32,29.41,51.72,28.00,27.78
9,日本財団会長杯,3,2021-08-08,24,大村,12,予選特選,1200,20:35,4504,3349,4523,3777,3527,4966,前田将太,吉田一郎,中村辰也,樋口亮,中嶋誠一,田川大貴,福岡,長崎,長崎,長崎,長崎,長崎,A1,A1,A2,B1,A2,B1,33,53,33,46,50,23,53,52,52,52,51,53,7.20,6.89,5.71,5.52,5.72,4.80,53.27,56.90,39.00,36.56,38.52,30.53,6.68,6.71,5.94,5.57,5.85,4.90,52.63,51.02,37.84,39.53,37.41,28.16,63,61,34,66,39,62,41.18,33.33,34.38,25.00,32.00,41.18,44,43,64,11,33,38,19.23,39.39,37.50,35.29,34.62,41.94
