,title,day,date,place_cd,place,race_no,race_type,distance,deadline,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6
0,サマーモーニングバトル,5,2020-07-26,23,唐津,1,一般,1800,08:47,3562,4950,4747,4839,3471,5048,山下和彦,高岡竜也,山戸信二,四宮与寛,赤峰和也,眞鳥康太,広島,山口,長崎,徳島,佐賀,長崎,A1,B1,B1,B1,B1,B1,51,27,34,30,50,26,50,51,52,52,53,55,6.57,4.44,4.09,5.19,4.01,2.63,48.18,31.82,19.15,34.71,25.26,7.29,5.89,3.19,4.15,4.89,4.70,2.16,41.51,12.50,19.51,29.63,30.51,4.00,48,11,22,58,15,42,33.64,30.22,39.57,33.33,29.03,28.44,31,89,42,69,78,64,30.30,24.24,35.21,35.82,39.39,26.76
1,サマーモーニングバトル,5,2020-07-26,23,唐津,2,一般,1800,09:16,4474,3297,3998,3883,5107,5084,渡辺崇,藤丸光一,冨成謙児,山根大樹,松本真広,末永和也,福岡,福岡,佐賀,広島,福岡,佐賀,A2,A2,B1,B1,B2,B1,32,53,41,46,21,21,55,48,52,56,52,53,5.71,5.96,4.89,4.51,1.20,3.72,41.41,42.37,27.07,23.66,0.00,17.27,4.21,6.25,5.14,5.22,1.24,3.80,16.67,49.09,29.57,33.33,0.00,17.39,28,13,39,61,35,18,29.22,41.63,32.60,38.10,33.50,27.44,40,55,39,66,82,73,33.85,15.49,42.67,41.18,34.78,35.85
2,サマーモーニングバトル,5,2020-07-26,23,唐津,3,一般,1800,09:45,4106,3151,4715,3670,5119,2844,坂井康嗣,落合敬一,村上遼,古澤信二,真田翔磨,田中伸二,佐賀,長崎,長崎,福岡,福岡,広島,A2,B1,A2,B1,B2,B1,40,56,28,48,19,63,51,58,51,56,53,51,5.16,3.34,6.46,4.84,1.13,4.62,29.03,6.90,47.25,29.69,0.00,28.21,5.33,5.22,6.29,0.00,0.00,4.43,28.76,22.22,50.00,0.00,0.00,25.71,66,68,32,44,26,12,49.08,35.17,28.38,35.14,33.78,37.99,90,68,71,53,46,76,36.23,39.44,40.54,21.92,36.11,38.81
3,サマーモーニングバトル,5,2020-07-26,23,唐津,4,一般,1800,10:15,4072,4222,3680,4403,4329,4427,森永淳,山口高志,森林太,木下大將,小松卓司,秦英悟,佐賀,佐賀,長崎,福岡,福岡,大阪,A2,B1,B1,A2,B1,A1,39,38,47,35,37,34,51,51,55,53,50,51,6.73,5.50,4.73,5.14,4.82,7.20,54.55,40.91,24.76,27.56,24.62,56.82,7.05,5.35,4.57,6.18,5.32,7.12,59.34,32.00,21.43,46.43,31.58,47.06,54,31,56,63,16,41,38.63,30.00,32.46,37.27,42.08,31.25,47,83,59,70,38,41,19.40,41.10,41.89,44.29,30.99,37.68
4,サマーモーニングバトル,5,2020-07-26,23,唐津,5,一般,1800,10:45,4839,4708,4703,4173,5048,4363,四宮与寛,半田尚也,森永隆,岡谷健吾,眞鳥康太,大野芳顕,徳島,広島,山口,広島,長崎,福岡,B1,B1,A1,A2,B1,A1,30,31,32,37,26,35,52,55,51,57,55,52,5.19,4.19,6.20,5.91,2.63,6.35,34.71,14.58,44.06,36.77,7.29,47.37,4.89,3.42,5.36,5.97,2.16,6.97,29.63,11.54,36.11,37.50,4.00,52.46,58,14,24,67,42,19,33.33,41.13,30.04,35.98,28.44,30.63,69,77,85,57,64,44,35.82,26.76,28.13,27.14,26.76,21.43
5,サマーモーニングバトル,5,2020-07-26,23,唐津,6,一般,1800,11:15,3883,4471,4079,4544,5084,3708,山根大樹,新田泰章,出畑孝典,松田大志,末永和也,岡部貴司,広島,広島,福岡,福岡,佐賀,岡山,B1,B2,A2,A1,B1,A2,46,33,41,32,21,46,56,52,53,51,53,55,4.51,5.92,6.06,7.69,3.72,5.11,23.66,46.05,44.53,66.67,17.27,26.56,5.22,6.20,5.53,8.44,3.80,5.46,33.33,47.83,38.24,76.00,17.39,32.20,61,23,59,43,18,38,38.10,32.88,39.81,31.11,27.44,38.18,66,60,81,48,73,45,41.18,30.43,36.76,39.73,35.85,35.21
6,サマーモーニングバトル,5,2020-07-26,23,唐津,7,一般,1800,11:47,4724,3873,4950,4474,4715,5107,吉田祐貴,別府昌樹,高岡竜也,渡辺崇,村上遼,松本真広,佐賀,広島,山口,福岡,長崎,福岡,B1,A2,B1,A2,A2,B2,34,44,27,32,28,21,51,53,51,55,51,52,4.54,5.87,4.44,5.71,6.46,1.20,23.81,40.00,31.82,41.41,47.25,0.00,4.30,7.08,3.19,4.21,6.29,1.24,20.00,57.89,12.50,16.67,50.00,0.00,21,50,11,28,32,35,27.86,44.84,30.22,29.22,28.38,33.50,54,35,89,40,71,82,46.15,36.92,24.24,33.85,40.54,34.78
7,サマーモーニングバトル,5,2020-07-26,23,唐津,8,一般,1800,12:19,3471,3680,3670,4222,4747,5119,赤峰和也,森林太,古澤信二,山口高志,山戸信二,真田翔磨,佐賀,長崎,福岡,佐賀,長崎,福岡,B1,B1,B1,B1,B1,B2,50,47,48,38,34,19,53,55,56,51,52,53,4.01,4.73,4.84,5.50,4.09,1.13,25.26,24.76,29.69,40.91,19.15,0.00,4.70,4.57,0.00,5.35,4.15,0.00,30.51,21.43,0.00,32.00,19.51,0.00,15,56,44,31,22,26,29.03,32.46,35.14,30.00,39.57,33.78,78,59,53,83,42,46,39.39,41.89,21.92,41.10,35.21,36.11
8,サマーモーニングバトル,5,2020-07-26,23,唐津,9,一般特選,1800,12:53,4329,4403,3151,4703,3998,4708,小松卓司,木下大將,落合敬一,森永隆,冨成謙児,半田尚也,福岡,福岡,長崎,山口,佐賀,広島,B1,A2,B1,A1,B1,B1,37,35,56,32,41,31,50,53,58,51,52,55,4.82,5.14,3.34,6.20,4.89,4.19,24.62,27.56,6.90,44.06,27.07,14.58,5.32,6.18,5.22,5.36,5.14,3.42,31.58,46.43,22.22,36.11,29.57,11.54,16,63,68,24,39,14,42.08,37.27,35.17,30.04,32.60,41.13,38,70,68,85,39,77,30.99,44.29,39.44,28.13,42.67,26.76
9,サマーモーニングバトル,5,2020-07-26,23,唐津,10,選抜戦,1800,13:28,4363,4106,4471,4427,4079,4173,大野芳顕,坂井康嗣,新田泰章,秦英悟,出畑孝典,岡谷健吾,福岡,佐賀,広島,大阪,福岡,広島,A1,A2,B2,A1,A2,A2,35,40,33,34,41,37,52,51,52,51,53,57,6.35,5.16,5.92,7.20,6.06,5.91,47.37,29.03,46.05,56.82,44.53,36.77,6.97,5.33,6.20,7.12,5.53,5.97,52.46,28.76,47.83,47.06,38.24,37.50,19,66,23,41,59,67,30.63,49.08,32.88,31.25,39.81,35.98,44,90,60,41,81,57,21.43,36.23,30.43,37.68,36.76,27.14
