,title,day,date,place_cd,place,race_no,race_type,distance,deadline,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6
0,BTS松浦開設記念,3,2021-09-08,24,大村,1,予選,1800,15:25,4241,3277,4948,5094,4744,3660,大串重幸,齋藤勇,木場悠介,生田波美,伊藤玲奈,長谷川親,長崎,東京,長崎,東京,福岡,香川,B1,B1,B1,B1,B2,B1,36,55,28,19,28,52,53,51,53,50,44,58,4.95,4.38,5.61,4.35,4.67,3.70,31.08,14.47,32.26,21.79,19.05,13.95,5.34,4.67,4.87,0.00,4.18,3.88,36.65,16.67,27.78,0.00,9.09,11.54,30,64,29,45,61,46,52.63,52.78,43.59,47.22,33.33,14.71,67,13,31,47,76,66,23.68,30.56,37.84,27.27,36.11,18.52
1,BTS松浦開設記念,3,2021-09-08,24,大村,2,予選,1800,15:55,4181,4069,4468,4661,4104,4633,花本夏樹,山本修一,大池佑来,中島昂章,木下陽介,森智也,三重,岡山,東京,佐賀,東京,兵庫,B1,A2,A1,B1,A2,B1,38,41,34,29,42,32,54,52,52,51,55,49,4.63,6.38,6.63,4.95,4.96,5.85,21.59,47.79,51.82,25.45,33.33,34.57,0.00,5.62,6.23,4.96,3.29,5.25,0.00,38.46,46.15,26.67,0.00,31.25,27,41,63,51,19,47,31.58,41.67,48.39,27.78,32.56,31.43,68,15,32,39,63,20,40.54,47.37,28.57,48.28,27.27,32.26
2,BTS松浦開設記念,3,2021-09-08,24,大村,3,予選,1800,16:21,4358,3906,4315,3522,5192,4914,松本庸平,飯山晃三,山崎昂介,長溝一生,中尾優香,吉田裕平,三重,長崎,長崎,佐賀,福岡,愛知,B1,B1,B1,A1,B2,A2,37,43,37,53,20,24,51,58,53,52,48,51,4.09,4.79,5.40,5.73,1.17,7.00,23.89,30.34,36.11,38.46,0.00,54.84,4.38,5.51,5.03,6.01,0.00,5.68,19.05,37.50,30.09,44.29,0.00,31.58,33,62,34,25,56,50,45.00,33.33,39.02,51.28,37.14,38.89,29,16,11,74,23,34,23.53,16.67,32.43,29.41,37.84,34.29
3,BTS松浦開設記念,3,2021-09-08,24,大村,4,予選,1800,16:44,3973,4781,3952,4618,4797,3233,崎利仁,西舘果里,中澤和志,乃村康友,中山将,小畑実成,群馬,東京,埼玉,三重,三重,岡山,B1,B1,A1,A2,B1,A2,45,34,45,38,29,54,54,51,53,54,55,52,4.48,4.39,7.00,5.66,5.44,5.31,23.68,19.48,60.32,38.71,36.76,33.06,6.40,5.20,5.44,4.22,0.00,5.69,50.00,25.00,22.22,11.11,0.00,34.33,36,26,44,35,39,38,34.21,44.44,27.78,39.53,37.14,28.57,48,21,69,12,62,26,18.92,48.15,32.00,15.15,28.57,12.82
4,BTS松浦開設記念,3,2021-09-08,24,大村,6,予選,1800,17:40,4104,4174,3559,4313,4957,5111,木下陽介,赤坂俊輔,水長照雄,西村美智,竹之内極,三村岳人,東京,長崎,山口,香川,福岡,岡山,A2,A1,B1,A1,B1,B1,42,38,53,37,26,21,55,51,52,50,56,51,4.96,7.45,4.49,6.16,4.32,2.82,33.33,60.16,25.97,41.23,21.78,3.51,3.29,7.43,4.13,5.66,3.71,0.00,0.00,56.11,17.65,42.11,14.58,0.00,19,49,52,55,23,48,32.56,37.84,16.67,21.21,32.43,29.41,63,33,72,44,64,35,27.27,38.89,21.88,33.33,40.00,33.33
5,BTS松浦開設記念,3,2021-09-08,24,大村,7,予選,1800,18:09,4113,3837,3970,4315,4804,4661,木村浩士,秋山広一,亀山高雅,山崎昂介,高田ひか,中島昂章,群馬,香川,群馬,長崎,三重,佐賀,A2,A2,B1,B1,A2,B1,41,46,45,37,27,29,54,49,54,53,47,51,5.06,6.70,3.87,5.40,7.43,4.95,27.62,52.46,13.33,36.11,61.73,25.45,4.82,6.98,6.00,5.03,6.68,4.96,21.21,54.39,40.74,30.09,50.00,26.67,43,28,24,34,65,51,21.88,32.50,35.90,39.02,29.73,27.78,30,71,61,11,36,39,32.43,31.43,22.58,32.43,39.47,48.28
6,BTS松浦開設記念,3,2021-09-08,24,大村,8,予選,1800,18:40,4857,4744,4642,5092,4618,3906,加藤翔馬,伊藤玲奈,松尾夏海,篠原晟弥,乃村康友,飯山晃三,兵庫,福岡,香川,福岡,三重,長崎,A2,B2,A1,B1,A2,B1,24,28,29,20,38,43,55,44,46,51,54,58,6.05,4.67,6.22,3.39,5.66,4.79,40.59,19.05,45.78,10.45,38.71,30.34,5.90,4.18,0.00,2.17,4.22,5.51,51.72,9.09,0.00,4.17,11.11,37.50,54,61,31,57,35,62,9.09,33.33,11.11,58.33,39.53,33.33,41,76,27,73,12,16,19.51,36.11,22.22,27.59,15.15,16.67
7,BTS松浦開設記念,3,2021-09-08,24,大村,9,予選特選,1800,19:12,3988,3233,4633,3952,4358,4650,古川誠之,小畑実成,森智也,中澤和志,松本庸平,中山雄太,愛知,岡山,兵庫,埼玉,三重,愛知,A1,A2,B1,A1,B1,A2,43,54,32,45,37,37,55,52,49,53,51,52,5.87,5.31,5.85,7.00,4.09,6.37,38.30,33.06,34.57,60.32,23.89,44.92,6.78,5.69,5.25,5.44,4.38,5.25,55.56,34.33,31.25,22.22,19.05,30.00,22,38,47,44,33,58,43.24,28.57,31.43,27.78,45.00,35.29,40,26,20,69,29,46,22.22,12.82,32.26,32.00,23.53,47.37
8,BTS松浦開設記念,3,2021-09-08,24,大村,10,予選特選,1800,19:46,4468,3522,3902,4948,4069,3699,大池佑来,長溝一生,蜷川哲平,木場悠介,山本修一,富永正人,東京,佐賀,東京,長崎,岡山,埼玉,A1,A1,A2,B1,A2,B1,34,53,44,28,41,48,52,52,54,53,52,54,6.63,5.73,5.36,5.61,6.38,5.10,51.82,38.46,33.73,32.26,47.79,31.03,6.23,6.01,0.00,4.87,5.62,5.22,46.15,44.29,0.00,27.78,38.46,33.33,63,25,60,29,41,59,48.39,51.28,20.59,43.59,41.67,55.56,32,74,22,31,15,70,28.57,29.41,41.18,37.84,47.37,21.43
9,BTS松浦開設記念,3,2021-09-08,24,大村,11,一般特賞,1800,20:19,4174,4113,3660,4824,4914,4797,赤坂俊輔,木村浩士,長谷川親,松井洪弥,吉田裕平,中山将,長崎,群馬,香川,三重,愛知,三重,A1,A2,B1,A2,A2,B1,38,41,52,28,24,29,51,54,58,52,51,55,7.45,5.06,3.70,6.35,7.00,5.44,60.16,27.62,13.95,45.90,54.84,36.76,7.43,4.82,3.88,4.56,5.68,0.00,56.11,21.21,11.54,22.22,31.58,0.00,49,43,46,20,50,39,37.84,21.88,14.71,8.82,38.89,37.14,33,30,66,65,34,62,38.89,32.43,18.52,30.56,34.29,28.57
