,title,day,date,place_cd,place,race_no,race_type,distance,deadline,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6
0,デイリースポーツカップ,1,2020-01-25,24,大村,1,予選,1800,15:15,3025,4395,4997,3673,4603,4368,山口哲治,下河雅史,濱崎寿里,小林享,谷川将太,山口隆史,長崎,福岡,埼玉,群馬,長崎,福岡,B1,B1,B2,B1,B1,B1,58,33,26,47,32,34,51,54,50,56,52,50,3.92,4.53,1.81,4.31,4.45,5.14,12.31,26.92,3.39,20.37,25.77,28.83,4.59,3.78,0.00,0.00,4.90,5.42,23.19,0.00,0.00,0.00,30.15,33.33,49,66,34,74,33,28,40.69,38.10,55.56,35.80,32.19,39.66,32,64,29,69,53,58,37.50,28.93,41.61,30.65,29.66,35.07
1,デイリースポーツカップ,1,2020-01-25,24,大村,2,予選,1800,15:39,4110,4722,3933,4142,3722,4498,小澤和也,竹野未華,山地正樹,平野和明,西村秀樹,宮本夏樹,埼玉,福岡,岡山,愛知,福岡,長崎,B1,B2,A1,A2,B1,B1,39,35,43,38,49,32,56,51,53,52,52,53,5.10,3.28,6.93,6.06,4.03,5.74,28.16,7.69,53.68,41.26,18.75,39.62,4.86,3.67,8.43,5.53,3.57,5.94,14.29,11.11,71.43,40.00,7.14,43.27,71,69,64,20,36,62,36.24,38.36,25.86,35.24,31.96,38.74,46,71,55,60,33,15,33.08,28.07,26.05,33.33,32.14,34.33
2,デイリースポーツカップ,1,2020-01-25,24,大村,3,予選,1800,16:02,4129,4300,3475,3281,4723,3297,宇野博之,加藤綾,橋本久和,塚本太二,寺島吉彦,藤丸光一,愛知,三重,群馬,大阪,東京,福岡,B1,B1,A1,B1,B1,A2,39,36,49,52,34,52,56,50,52,52,48,48,4.47,4.41,6.58,3.11,4.86,5.94,24.42,20.87,51.52,8.57,23.47,43.84,3.59,4.26,6.44,3.52,3.96,5.55,10.34,25.93,55.56,14.29,11.11,40.00,38,19,45,57,73,37,38.18,36.24,30.18,29.07,37.78,31.48,62,20,51,70,47,19,33.33,26.89,29.50,34.33,32.59,30.58
3,デイリースポーツカップ,1,2020-01-25,24,大村,4,予選,1800,16:36,4518,4309,4539,4088,4729,4384,大須賀友,坂口明義,金子賢志,野田祥子,佐藤謙史,鶴本崇文,愛知,香川,群馬,長崎,福岡,大阪,B1,B1,A2,B1,B1,A1,32,36,29,39,30,34,53,51,51,46,55,51,5.36,3.97,5.40,4.13,4.22,5.98,32.20,14.52,36.94,25.96,20.45,41.18,6.00,4.04,4.96,4.73,5.25,5.18,42.11,13.04,32.65,27.91,12.50,29.41,67,72,58,32,50,76,40.26,38.72,36.49,30.86,35.62,41.41,68,23,16,12,52,74,20.91,28.70,22.58,40.29,30.60,31.25
4,デイリースポーツカップ,1,2020-01-25,24,大村,5,予選,1800,17:03,3347,3673,3362,4330,4726,4146,矢後剛,小林享,間嶋仁志,奈須啓太,島田なぎ,柳橋宏紀,東京,群馬,三重,福岡,埼玉,滋賀,A2,B1,A2,A1,B1,B1,52,47,50,36,32,38,54,56,54,51,46,53,6.20,4.31,6.11,5.85,4.17,4.68,42.06,20.37,41.79,38.85,24.53,27.00,7.60,0.00,7.81,6.67,0.00,5.00,80.00,0.00,67.74,57.58,0.00,31.25,75,74,22,23,15,65,31.28,35.80,28.92,41.04,35.43,36.70,48,69,24,34,30,27,30.83,30.65,28.81,29.03,43.28,35.51
5,デイリースポーツカップ,1,2020-01-25,24,大村,6,夜ガチ戦予選,1800,17:30,3589,4498,4182,4368,4050,3905,西村勝,宮本夏樹,吉田和仁,山口隆史,田口節子,天野友和,埼玉,長崎,滋賀,福岡,岡山,愛知,A2,B1,A2,B1,A1,B1,46,32,36,34,39,42,55,53,56,50,45,55,5.41,5.74,5.33,5.14,6.41,5.10,35.64,39.62,33.33,28.83,44.07,28.70,6.13,5.94,6.16,5.42,6.86,5.29,43.75,43.27,42.11,33.33,58.33,34.15,41,62,12,28,25,30,32.19,38.74,37.96,39.66,38.35,27.52,18,15,50,58,31,35,33.09,34.33,38.13,35.07,43.80,32.20
6,デイリースポーツカップ,1,2020-01-25,24,大村,7,夜ドキ戦予選,1800,17:56,4348,4723,4119,4997,4174,3722,宮崎奨,寺島吉彦,泥谷一毅,濱崎寿里,赤坂俊輔,西村秀樹,香川,東京,大阪,埼玉,長崎,福岡,A2,B1,A2,B2,A1,B1,34,34,38,26,37,49,55,48,56,50,50,52,5.88,4.86,5.27,1.81,7.20,4.03,41.12,23.47,35.44,3.39,59.40,18.75,6.45,3.96,5.60,0.00,7.26,3.57,54.55,11.11,34.29,0.00,58.97,7.14,14,73,61,34,48,36,36.29,37.78,41.78,55.56,41.51,31.96,40,47,76,29,21,33,36.43,32.59,21.43,41.61,26.05,32.14
7,デイリースポーツカップ,1,2020-01-25,24,大村,8,予選,1800,18:21,4069,3742,3025,4300,4309,3983,山本修一,宮地秀祈,山口哲治,加藤綾,坂口明義,須藤博倫,岡山,福岡,長崎,三重,香川,埼玉,A2,A2,B1,B1,B1,A1,39,45,58,36,36,42,53,51,51,50,51,51,5.79,5.19,3.92,4.41,3.97,6.76,39.67,26.85,12.31,20.87,14.52,50.00,6.91,0.00,4.59,4.26,4.04,6.96,54.55,0.00,23.19,25.93,13.04,51.85,26,53,49,19,72,63,37.33,35.68,40.69,36.24,38.72,39.59,37,36,32,20,23,61,31.16,38.52,37.50,26.89,28.70,36.50
8,デイリースポーツカップ,1,2020-01-25,24,大村,9,予選特賞,1800,18:49,4502,3268,4129,3347,4110,4539,遠藤エミ,森竜也,宇野博之,矢後剛,小澤和也,金子賢志,滋賀,三重,愛知,東京,埼玉,群馬,A1,A2,B1,A2,B1,A2,31,54,39,52,39,29,44,52,56,54,56,51,7.46,5.87,4.47,6.20,5.10,5.40,53.28,44.53,24.42,42.06,28.16,36.94,8.33,6.95,3.59,7.60,4.86,4.96,72.22,63.16,10.34,80.00,14.29,32.65,59,46,38,75,71,58,36.52,36.32,38.18,31.28,36.24,36.49,72,49,62,48,46,16,29.20,24.79,33.33,30.83,33.08,22.58
9,デイリースポーツカップ,1,2020-01-25,24,大村,10,予選特賞,1800,19:24,4808,3297,4518,4146,3589,4119,松尾拓,藤丸光一,大須賀友,柳橋宏紀,西村勝,泥谷一毅,三重,福岡,愛知,滋賀,埼玉,大阪,A1,A2,B1,B1,A2,A2,31,52,32,38,46,38,48,48,53,53,55,56,6.79,5.94,5.36,4.68,5.41,5.27,47.46,43.84,32.20,27.00,35.64,35.44,5.00,5.55,6.00,5.00,6.13,5.60,11.11,40.00,42.11,31.25,43.75,34.29,68,37,67,65,41,61,32.88,31.48,40.26,36.70,32.19,41.78,54,19,68,27,18,76,29.75,30.58,20.91,35.51,33.09,21.43
10,デイリースポーツカップ,1,2020-01-25,24,大村,11,予選特選,1800,19:58,3933,4182,4348,3362,3475,3742,山地正樹,吉田和仁,宮崎奨,間嶋仁志,橋本久和,宮地秀祈,岡山,滋賀,香川,三重,群馬,福岡,A1,A2,A2,A2,A1,A2,43,36,34,50,49,45,53,56,55,54,52,51,6.93,5.33,5.88,6.11,6.58,5.19,53.68,33.33,41.12,41.79,51.52,26.85,8.43,6.16,6.45,7.81,6.44,0.00,71.43,42.11,54.55,67.74,55.56,0.00,64,12,14,22,45,53,25.86,37.96,36.29,28.92,30.18,35.68,55,50,40,24,51,36,26.05,38.13,36.43,28.81,29.50,38.52
11,デイリースポーツカップ,1,2020-01-25,24,大村,12,発祥地選抜,1800,20:32,4174,4384,4050,4502,3983,4330,赤坂俊輔,鶴本崇文,田口節子,遠藤エミ,須藤博倫,奈須啓太,長崎,大阪,岡山,滋賀,埼玉,福岡,A1,A1,A1,A1,A1,A1,37,34,39,31,42,36,50,51,45,44,51,51,7.20,5.98,6.41,7.46,6.76,5.85,59.40,41.18,44.07,53.28,50.00,38.85,7.26,5.18,6.86,8.33,6.96,6.67,58.97,29.41,58.33,72.22,51.85,57.58,48,76,25,59,63,23,41.51,41.41,38.35,36.52,39.59,41.04,21,74,31,72,61,34,26.05,31.25,43.80,29.20,36.50,29.03
12,全日本王者決定戦(開設66周年記念),3,2020-01-25,23,唐津,1,予選,1800,10:52,4028,4531,4096,3956,4734,3952,田村隆信,武富智亮,石橋道友,横澤剛治,安河内将,中澤和志,徳島,佐賀,長崎,静岡,佐賀,埼玉,A1,A1,A1,A1,A1,A1,41,31,38,42,30,43,54,52,54,55,50,53,7.86,6.58,6.49,6.38,6.66,7.20,55.91,49.09,48.70,41.10,42.24,52.99,6.81,6.53,7.05,3.63,6.73,7.30,43.24,50.00,57.14,25.00,52.38,70.00,37,63,61,62,21,48,37.72,28.04,45.05,32.35,30.00,30.84,76,80,61,90,53,85,41.97,35.45,41.29,30.65,29.50,30.89
13,全日本王者決定戦(開設66周年記念),3,2020-01-25,23,唐津,2,予選,1800,11:22,4503,4451,4337,4685,4101,3622,上野真之,松崎祐太,平本真之,島村隆幸,三井所尊,山崎智也,佐賀,福岡,愛知,徳島,佐賀,群馬,A1,A1,A1,A1,A1,A1,31,32,35,29,40,45,52,51,55,50,50,53,7.69,6.83,7.15,7.15,7.28,5.88,59.62,51.11,49.21,54.62,61.90,31.31,7.64,7.00,9.25,7.38,7.28,6.22,63.29,55.00,75.00,57.69,63.77,44.44,44,35,50,56,69,17,34.55,36.27,40.59,33.65,29.36,34.29,72,88,79,56,82,62,34.34,32.64,38.89,42.39,28.49,38.02
