,title,day,date,place_cd,place,race_no,race_type,distance,deadline,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6
0,サンケイスポーツ杯,4,2022-03-03,24,大村,1,一般,1800,15:15,4252,5143,3122,4250,3581,5193,松下哲也,常盤海心,高山哲也,藤川利文,加木郁,米丸乃絵,福岡,徳島,兵庫,福岡,山口,福岡,B1,B1,B1,B1,B1,B2,38,21,60,39,49,20,52,53,55,55,53,47,4.30,4.44,3.98,4.13,4.97,1.98,24.00,23.53,19.57,24.68,31.82,5.45,4.75,4.43,4.20,4.74,5.38,0.83,25.00,14.29,20.00,29.41,32.73,0.00,12,60,23,20,61,76,32.67,29.27,31.06,22.70,28.57,40.37,64,49,66,41,37,15,32.03,36.13,24.83,27.78,34.18,37.33
1,サンケイスポーツ杯,4,2022-03-03,24,大村,2,一般,1800,15:38,4697,5161,4079,4152,4408,3534,國弘翔平,登玉隼百,出畑孝典,深水慎一,仁科さや,野澤大二,福岡,兵庫,福岡,東京,長崎,東京,B1,B1,B1,A2,B2,A2,35,22,43,41,36,49,49,51,54,53,48,54,4.66,3.31,6.46,6.14,5.12,5.78,24.24,13.59,48.32,42.34,22.73,38.81,4.41,0.00,5.60,5.27,4.30,0.00,23.08,0.00,35.29,31.82,21.28,0.00,53,40,32,71,64,62,28.87,35.33,36.77,25.85,27.78,33.56,18,50,52,68,65,25,25.83,27.27,31.97,41.56,34.62,28.66
2,サンケイスポーツ杯,4,2022-03-03,24,大村,3,一般,1800,16:11,3726,4041,4315,4724,3682,4964,桂林寛,小林基樹,山崎昂介,吉田祐貴,切田潤二,土屋南,福岡,山口,長崎,佐賀,山口,岡山,B1,B1,A2,B1,B1,B2,50,42,37,36,48,25,55,56,51,53,51,46,4.17,4.97,4.93,4.15,3.70,7.19,17.71,31.94,30.63,19.61,10.94,65.52,5.64,5.00,5.37,3.97,3.41,6.24,34.43,35.90,32.37,19.35,13.51,45.24,26,36,58,55,18,34,35.29,28.75,26.97,34.81,34.19,39.62,30,70,12,73,21,75,39.86,38.31,25.95,23.02,40.40,44.23
3,サンケイスポーツ杯,4,2022-03-03,24,大村,4,一般,1800,16:37,3523,5117,4072,4241,4288,3989,寳田亮治,冨名腰桃,森永淳,大串重幸,永田啓二,熊本英一,福岡,福岡,佐賀,長崎,福岡,佐賀,B1,B1,A2,B1,A1,B1,53,21,41,37,37,43,53,43,51,54,53,58,4.83,3.20,6.50,5.30,7.47,3.93,29.55,10.00,52.14,33.07,62.41,18.09,4.88,1.88,6.88,5.37,6.60,3.87,35.71,5.88,53.01,35.44,43.40,17.33,24,31,30,46,39,27,33.75,31.41,39.24,26.11,31.61,26.14,61,22,55,44,35,26,28.21,27.21,37.91,27.66,30.52,28.78
4,サンケイスポーツ杯,4,2022-03-03,24,大村,5,一般,1800,17:01,4424,4250,4738,5055,4853,3944,松尾昂明,藤川利文,清埜翔子,眞鳥章太,前原哉,山口裕二,福岡,福岡,埼玉,長崎,岡山,長崎,A1,B1,A2,B1,B1,A1,36,39,30,26,27,43,51,55,47,53,47,53,6.61,4.13,5.53,3.54,4.15,6.56,53.10,24.68,36.67,11.49,19.05,45.54,5.79,4.74,4.95,3.98,5.42,7.00,41.27,29.41,36.59,19.32,16.67,55.56,72,20,74,28,50,16,48.75,22.70,40.51,31.48,36.48,27.81,14,41,11,32,60,51,18.75,27.78,38.41,42.50,42.00,33.99
5,サンケイスポーツ杯,4,2022-03-03,24,大村,6,一般,1800,17:30,4247,4924,3881,3904,4697,5106,齊藤優,中北涼,浦上拓也,森貴洋,國弘翔平,山崎祥,徳島,長崎,大阪,大阪,福岡,山口,A2,B1,A2,A2,B1,B1,39,29,49,44,35,23,54,48,54,56,49,51,5.25,4.42,5.32,6.09,4.66,4.28,28.21,21.52,31.82,42.62,24.24,17.78,5.45,3.93,4.59,5.41,4.41,0.00,35.29,22.95,27.78,32.35,23.08,0.00,19,43,52,66,53,21,38.75,18.49,26.71,25.34,28.87,43.48,13,45,36,48,18,20,38.46,27.92,32.28,36.54,25.83,33.99
6,サンケイスポーツ杯,4,2022-03-03,24,大村,7,一般,1800,17:58,4335,5011,4724,4116,4428,5143,若林将,高木圭大,吉田祐貴,川田正人,有賀達也,常盤海心,東京,長崎,佐賀,徳島,埼玉,徳島,A1,B1,B1,A2,A2,B1,38,24,36,41,36,21,54,52,53,52,52,53,6.78,3.79,4.15,5.96,6.31,4.44,51.11,13.83,19.61,40.95,51.30,23.53,7.35,3.41,3.97,4.38,6.53,4.43,50.00,11.83,19.35,20.83,46.67,14.29,11,63,55,67,33,60,33.12,40.54,34.81,24.67,40.00,29.27,43,56,73,16,67,49,29.30,34.44,23.02,29.22,31.69,36.13
7,サンケイスポーツ杯,4,2022-03-03,24,大村,8,一般,1800,18:27,4351,3989,4252,4039,4505,5161,里岡右貴,熊本英一,松下哲也,村上功祐,島田賢人,登玉隼百,福岡,佐賀,福岡,大阪,埼玉,兵庫,A1,B1,B1,A2,A2,B1,35,43,38,43,33,22,55,58,52,57,56,51,6.83,3.93,4.30,5.85,5.83,3.31,50.75,18.09,24.00,41.59,50.00,13.59,7.26,3.87,4.75,5.67,6.05,0.00,59.26,17.33,25.00,37.04,50.00,0.00,73,27,12,14,75,40,25.00,26.14,32.67,25.74,24.46,35.33,53,26,64,74,34,50,39.87,28.78,32.03,35.95,29.68,27.27
8,サンケイスポーツ杯,4,2022-03-03,24,大村,9,準優勝戦,1800,18:56,4964,4738,4424,4072,4079,4041,土屋南,清埜翔子,松尾昂明,森永淳,出畑孝典,小林基樹,岡山,埼玉,福岡,佐賀,福岡,山口,B2,A2,A1,A2,B1,B1,25,30,36,41,43,42,46,47,51,51,54,56,7.19,5.53,6.61,6.50,6.46,4.97,65.52,36.67,53.10,52.14,48.32,31.94,6.24,4.95,5.79,6.88,5.60,5.00,45.24,36.59,41.27,53.01,35.29,35.90,34,74,72,30,32,36,39.62,40.51,48.75,39.24,36.77,28.75,75,11,14,55,52,70,44.23,38.41,18.75,37.91,31.97,38.31
9,サンケイスポーツ杯,4,2022-03-03,24,大村,10,準優勝戦,1800,19:27,4288,5055,3904,4335,4152,3726,永田啓二,眞鳥章太,森貴洋,若林将,深水慎一,桂林寛,福岡,長崎,大阪,東京,東京,福岡,A1,B1,A2,A1,A2,B1,37,26,44,38,41,50,53,53,56,54,53,55,7.47,3.54,6.09,6.78,6.14,4.17,62.41,11.49,42.62,51.11,42.34,17.71,6.60,3.98,5.41,7.35,5.27,5.64,43.40,19.32,32.35,50.00,31.82,34.43,39,28,66,11,71,26,31.61,31.48,25.34,33.12,25.85,35.29,35,32,48,43,68,30,30.52,42.50,36.54,29.30,41.56,39.86
