,title,day,date,place_cd,place,race_no,race_type,distance,deadline,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6
0,BTS松浦開設記念,2,2020-09-26,24,大村,1,予選,1800,15:15,3906,4855,4393,4705,4309,3459,飯山晃三,江頭賢太,田中孝明,吉川勇作,坂口明義,中野和裕,長崎,長崎,福岡,長崎,香川,佐賀,B1,B1,B1,B1,B2,B1,42,24,34,32,36,53,58,51,56,53,54,54,4.75,3.59,4.32,4.22,2.57,3.74,28.45,15.07,15.85,23.58,3.57,8.77,5.65,4.96,5.19,5.02,3.63,3.79,38.99,30.00,33.33,30.77,10.00,17.86,15,49,26,24,17,57,26.42,30.36,22.73,26.53,33.33,31.48,63,20,52,58,22,56,23.21,42.86,28.00,29.09,27.78,29.63
1,BTS松浦開設記念,2,2020-09-26,24,大村,2,予選,1800,15:45,3151,4031,4747,4946,4457,4041,落合敬一,飯島誠,山戸信二,船越健吾,神田達也,小林基樹,長崎,埼玉,長崎,香川,愛知,山口,B1,B1,B1,B1,B1,B1,56,42,35,28,34,41,56,52,51,51,52,55,3.92,4.12,3.71,4.23,4.18,4.40,12.99,26.92,13.41,17.58,17.95,22.79,5.12,4.40,4.24,2.71,4.21,5.04,32.28,20.00,20.00,17.65,10.53,30.43,30,34,56,67,47,44,54.90,17.78,28.85,37.50,27.27,30.77,66,73,25,30,64,55,34.55,37.04,48.15,12.24,36.21,15.69
2,BTS松浦開設記念,2,2020-09-26,24,大村,3,予選,1800,16:09,4121,4226,2878,4368,4323,3522,富永修一,村田浩司,富山弘幸,山口隆史,山田佑樹,長溝一生,福岡,山口,大阪,福岡,岡山,佐賀,B1,B1,A2,B1,B1,A2,38,38,62,34,33,52,51,53,57,52,57,52,5.07,4.56,5.34,4.51,5.11,6.13,31.91,23.26,28.18,19.44,32.73,45.74,0.00,4.16,0.00,5.33,3.24,6.00,0.00,28.89,0.00,30.56,12.20,43.18,16,73,63,54,37,32,20.45,33.33,35.59,29.63,37.04,23.08,70,46,34,14,59,21,42.11,30.91,10.87,12.50,33.33,37.04
3,BTS松浦開設記念,2,2020-09-26,24,大村,4,予選,1800,16:43,3211,3853,3054,4252,3246,3514,北川敏弘,岩崎正哉,北川幸典,松下哲也,星野政彦,山一鉄也,佐賀,福岡,広島,福岡,兵庫,福岡,B1,A2,A2,B1,B1,A1,58,48,57,37,56,53,53,58,57,51,54,51,4.32,5.73,5.74,4.44,4.88,6.80,21.65,33.81,42.72,21.24,26.36,52.48,5.21,5.65,5.70,4.33,3.86,6.71,33.33,25.00,40.00,23.08,14.29,56.36,69,43,35,12,61,60,47.27,30.91,35.29,54.72,28.57,40.35,13,40,28,24,36,53,29.63,37.74,41.51,30.36,49.09,28.57
4,BTS松浦開設記念,2,2020-09-26,24,大村,5,予選,1800,17:15,4259,4679,4144,3459,3951,5131,真庭明志,植田太一,石塚久也,中野和裕,石川吉鎬,江藤敦宏,長崎,福岡,埼玉,佐賀,大阪,福岡,A2,A2,A1,B1,B1,B2,36,31,39,53,44,21,52,60,52,54,56,51,5.97,4.00,6.25,3.74,5.36,1.28,45.19,25.33,42.47,8.77,31.68,0.00,5.89,6.13,6.76,3.79,5.00,1.13,42.07,33.33,55.17,17.86,25.00,0.00,58,74,29,57,27,62,37.50,19.23,39.22,31.48,50.94,39.62,45,19,72,56,76,11,36.54,40.35,22.00,29.63,28.89,32.20
5,BTS松浦開設記念,2,2020-09-26,24,大村,6,予選,1800,17:44,4215,4309,4725,4886,4041,3623,吉島祥之,坂口明義,佐竹太一,入海馨,小林基樹,深川真二,愛知,香川,兵庫,岡山,山口,佐賀,B1,B2,B1,A2,B1,A1,36,36,34,24,41,46,56,54,51,54,55,51,5.05,2.57,4.93,5.31,4.40,7.54,27.56,3.57,28.80,35.96,22.79,61.43,5.76,3.63,5.21,6.73,5.04,7.30,40.00,10.00,33.33,53.85,30.43,61.36,66,17,65,71,44,40,24.53,33.33,28.57,38.89,30.77,15.38,49,22,12,51,55,75,44.23,27.78,26.42,17.07,15.69,42.31
6,BTS松浦開設記念,2,2020-09-26,24,大村,7,予選,1800,18:13,3873,4393,4184,4031,4226,5136,別府昌樹,田中孝明,渡邊雄一,飯島誠,村田浩司,濱野斗馬,広島,福岡,大阪,埼玉,山口,香川,A2,B1,A1,B1,B1,B2,44,34,34,42,38,20,52,56,50,52,53,54,6.22,4.32,6.20,4.12,4.56,1.18,43.90,15.85,42.64,26.92,23.26,0.00,5.64,5.19,0.00,4.40,4.16,0.00,39.29,33.33,0.00,20.00,28.89,0.00,59,26,72,34,73,52,23.73,22.73,38.46,17.78,33.33,30.00,39,52,69,73,46,38,43.40,28.00,18.87,37.04,30.91,31.11
7,BTS松浦開設記念,2,2020-09-26,24,大村,8,予選,1800,18:42,3054,4946,4323,3737,3284,4855,北川幸典,船越健吾,山田佑樹,上平真二,渡邊伸太,江頭賢太,広島,香川,岡山,広島,佐賀,長崎,A2,B1,B1,A1,A1,B1,57,28,33,46,52,24,57,51,57,53,53,51,5.74,4.23,5.11,7.56,6.42,3.59,42.72,17.58,32.73,59.15,48.33,15.07,5.70,2.71,3.24,0.00,6.30,4.96,40.00,17.65,12.20,0.00,30.00,30.00,35,67,37,21,19,49,35.29,37.50,37.04,18.75,17.78,30.36,28,30,59,27,61,20,41.51,12.24,33.33,39.62,33.33,42.86
8,BTS松浦開設記念,2,2020-09-26,24,大村,9,予選特賞,1800,19:12,4144,4919,4547,4635,4252,4679,石塚久也,吉田翔悟,中田竜太,峰重力也,松下哲也,植田太一,埼玉,長崎,埼玉,岡山,福岡,福岡,A1,B1,A1,B1,B1,A2,39,29,32,30,37,31,52,52,50,53,51,60,6.25,4.83,6.38,5.09,4.44,4.00,42.47,30.48,45.95,30.21,21.24,25.33,6.76,4.16,6.31,4.63,4.33,6.13,55.17,19.85,30.77,23.33,23.08,33.33,29,41,36,48,12,74,39.22,11.36,33.33,37.50,54.72,19.23,72,74,62,67,24,19,22.00,19.57,17.78,37.50,30.36,40.35
9,BTS松浦開設記念,2,2020-09-26,24,大村,10,予選特賞,1800,19:44,4184,3211,4259,4782,3522,3690,渡邊雄一,北川敏弘,真庭明志,浜崎準也,長溝一生,河合三弘,大阪,佐賀,長崎,岡山,佐賀,愛知,A1,B1,A2,B1,A2,A2,34,58,36,33,52,49,50,53,52,49,52,52,6.20,4.32,5.97,5.93,6.13,5.40,42.64,21.65,45.19,42.75,45.74,39.26,0.00,5.21,5.89,4.31,6.00,4.20,0.00,33.33,42.07,25.00,43.18,30.00,72,69,58,50,32,45,38.46,47.27,37.50,40.38,23.08,34.62,69,13,45,43,21,26,18.87,29.63,36.54,36.54,37.04,34.55
