,place_cd,race_no,odds1,odds2,odds3,odds4,odds5,odds6,hunaken,before_odds,is_buy
0,21,1,1.1,18.4,33.1,4.8,18.4,11.8,3,33.1,0
1,21,2,1.4,8.5,51.0,2.4,12.7,0.0,3,51.0,1
2,21,3,1.3,12.5,3.0,12.5,8.7,87.7,2,12.5,0
3,21,4,1.1,14.0,10.5,6.0,18.0,25.2,2,14.0,0
4,9,1,1.0,0.0,0.0,2.7,73.5,0.0,5,73.5,0
5,11,1,1.2,7.1,3.4,28.5,17.1,85.5,4,28.5,1
6,17,1,1.5,5.2,6.9,4.6,10.1,25.3,3,6.9,1
7,2,1,5.8,1.8,7.3,3.6,29.2,5.8,1,5.8,0
8,21,5,1.2,15.7,5.2,0.0,15.7,5.2,2,15.7,0
9,9,2,1.0,7.6,15.3,0.0,61.5,61.5,3,15.3,1
10,11,2,1.0,8.0,9.0,36.0,18.0,0.0,4,36.0,0
11,8,1,2.0,3.4,6.1,5.1,10.2,10.2,3,6.1,0
12,17,2,1.3,8.0,5.3,7.5,6.7,43.0,4,7.5,0
13,2,2,1.7,4.6,3.3,11.6,23.2,7.7,2,4.6,0
14,21,6,5.7,8.6,1.0,34.7,104.2,0.0,5,104.2,1
15,9,3,1.0,0.0,0.0,7.9,0.0,0.0,4,7.9,1
16,11,3,1.9,5.7,5.7,8.6,8.6,4.3,1,1.9,0
17,8,2,1.0,0.0,7.8,0.0,0.0,0.0,3,7.8,0
18,17,3,1.3,3.0,13.7,14.6,49.6,9.9,5,49.6,1
19,2,3,4.9,2.0,2.6,9.9,6.6,39.7,1,4.9,1
20,16,3,1.0,9.0,0.0,0.0,36.0,36.0,2,9.0,1
21,21,7,1.0,9.2,0.0,21.5,64.5,32.2,4,21.5,1
22,9,4,1.0,51.0,17.0,8.5,25.5,25.5,2,51.0,1
23,5,1,1.2,7.8,16.3,4.6,23.5,10.1,1,1.2,0
24,8,3,1.1,5.5,5.5,16.5,16.5,0.0,5,16.5,1
25,11,4,1.6,5.3,3.9,6.3,15.9,15.9,2,5.3,0
26,17,4,1.5,3.9,6.3,8.9,8.9,17.8,4,8.9,0
27,2,4,2.6,7.7,1.7,11.6,13.2,11.6,1,2.6,0
28,9,5,1.0,18.7,37.5,18.7,0.0,0.0,2,18.7,0
29,21,8,1.0,20.6,5.8,13.7,0.0,41.2,6,41.2,1
30,5,2,1.6,6.4,28.8,4.6,11.5,4.1,2,6.4,0
31,8,4,1.1,0.0,3.4,9.0,22.5,0.0,1,1.1,0
32,11,5,1.0,9.8,9.0,21.6,54.0,54.0,4,21.6,0
33,2,5,1.4,5.4,43.5,2.6,43.5,21.7,4,2.6,0
34,16,5,2.4,2.6,13.8,5.5,4.6,13.8,1,2.4,0
35,5,3,4.2,33.7,1.2,4.4,50.6,20.2,2,33.7,1
36,21,9,3.1,1.9,4.3,7.2,7.2,0.0,1,3.1,0
37,8,5,1.0,0.0,8.5,60.0,12.0,0.0,4,60.0,0
38,11,6,1.3,7.8,10.7,4.3,7.8,28.7,2,7.8,0
39,17,6,1.2,5.6,4.3,13.3,26.6,38.7,1,1.2,0
40,2,6,5.3,4.1,4.8,4.1,5.3,3.6,1,5.3,0
41,9,7,1.0,32.2,0.0,0.0,32.2,64.5,2,32.2,1
42,5,4,2.8,3.0,2.1,8.6,17.2,43.1,2,3.0,0
43,8,6,4.8,3.2,1.9,3.2,0.0,0.0,1,4.8,0
44,21,10,1.0,8.1,9.1,22.1,31.0,31.0,2,8.1,1
45,11,7,6.6,4.6,3.3,1.7,15.5,23.2,2,4.6,0
46,17,7,1.0,10.2,18.2,12.6,20.5,109.7,2,10.2,1
47,16,7,2.2,1.8,5.6,0.0,5.6,0.0,1,2.2,0
48,2,7,1.3,6.5,10.8,4.6,8.1,65.2,1,1.3,0
49,9,8,1.0,22.5,11.2,11.2,11.2,22.5,2,22.5,1
50,5,5,3.9,5.5,2.8,15.6,2.2,31.2,1,3.9,0
51,8,7,1.9,1.6,7.7,0.0,11.6,0.0,3,7.7,0
52,11,8,2.3,7.1,2.2,6.4,9.2,21.5,3,2.2,0
53,21,11,1.2,24.0,9.6,4.8,6.0,48.0,2,24.0,0
54,2,8,5.6,1.1,7.6,6.0,84.0,0.0,1,5.6,1
55,5,6,2.0,2.3,20.2,8.1,6.3,11.0,1,2.0,0
56,17,8,1.3,4.9,4.2,12.5,37.5,26.7,2,4.9,0
57,9,9,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0
58,8,8,2.8,4.1,1.7,9.1,15.2,0.0,5,15.2,0
59,11,9,1.3,7.0,6.3,9.0,15.7,10.5,4,9.0,0
60,16,9,1.2,15.1,8.4,5.4,37.8,8.4,2,15.1,0
61,21,12,1.0,15.0,45.0,9.0,45.0,0.0,3,45.0,1
62,5,7,1.3,32.8,10.0,26.2,2.6,26.2,2,32.8,0
63,2,9,2.5,18.7,2.1,4.0,8.0,18.7,2,18.7,1
64,17,9,1.0,15.4,8.0,19.9,24.2,67.8,2,15.4,1
65,9,10,1.7,4.7,4.1,6.6,6.6,0.0,3,4.1,0
66,8,9,1.0,0.0,0.0,9.7,4.3,0.0,4,9.7,0
67,11,10,1.0,5.7,11.5,46.0,46.0,46.0,5,46.0,0
68,20,1,1.0,8.6,9.8,46.0,69.0,69.0,5,69.0,1
69,1,1,3.6,4.2,3.3,2.7,8.9,19.6,1,3.6,0
70,5,8,1.0,9.1,6.0,16.9,29.7,47.5,2,9.1,0
71,2,10,1.9,4.5,2.9,8.3,8.3,50.2,1,1.9,0
72,7,1,1.1,27.7,55.5,13.8,13.8,4.2,3,55.5,1
73,8,10,1.0,0.0,27.7,55.5,55.5,27.7,4,55.5,1
74,9,11,1.0,0.0,14.6,29.2,0.0,14.6,3,14.6,0
75,20,2,1.0,48.7,4.4,12.1,24.3,24.3,2,48.7,1
76,11,11,2.0,6.2,3.6,5.1,4.7,62.2,3,3.6,0
77,1,2,2.2,4.2,1.9,9.1,54.7,54.7,5,54.7,0
78,16,11,1.0,7.3,36.7,73.5,0.0,0.0,4,73.5,1
79,5,9,1.3,11.2,11.2,3.2,14.0,33.7,2,11.2,0
80,7,2,1.3,3.7,7.5,17.5,7.5,52.5,4,17.5,0
81,2,11,1.1,12.2,17.1,3.0,0.0,0.0,3,17.1,0
82,17,11,1.1,11.7,12.5,7.0,17.6,12.5,5,17.6,1
83,20,3,1.1,5.1,10.3,6.8,20.6,0.0,3,10.3,1
84,8,11,1.0,22.5,6.7,16.8,0.0,0.0,2,22.5,1
85,1,3,4.3,2.1,2.3,8.0,12.9,64.5,1,4.3,1
86,9,12,1.6,3.0,11.4,5.7,11.4,19.0,4,5.7,0
87,11,12,1.8,6.0,7.2,7.2,3.0,36.0,3,7.2,1
88,7,3,8.5,1.0,17.0,17.0,76.5,30.6,4,17.0,1
89,5,10,1.0,13.7,4.4,14.5,46.6,38.8,6,38.8,0
90,2,12,2.4,3.1,3.4,3.6,23.5,57.1,2,3.1,0
91,16,12,1.0,0.0,0.0,8.1,0.0,0.0,4,8.1,0
92,20,4,1.1,11.5,21.1,5.5,9.0,18.1,3,21.1,0
93,1,4,3.9,13.8,1.8,3.9,9.2,9.2,2,13.8,0
94,17,12,1.4,4.3,12.0,5.7,10.7,16.3,5,10.7,1
95,7,4,1.0,5.2,19.9,9.9,49.8,99.7,6,99.7,1
96,8,12,2.1,7.0,12.3,1.5,49.5,0.0,3,12.3,1
97,20,5,1.0,10.1,7.6,8.1,61.1,0.0,5,61.1,1
98,5,11,1.1,4.4,14.4,16.5,28.8,10.5,1,1.1,0
99,1,5,3.8,4.5,11.2,2.0,16.8,4.8,1,3.8,0
100,7,5,1.0,27.0,7.1,9.6,67.5,9.0,2,27.0,1
101,20,6,1.6,13.4,3.0,8.2,5.3,0.0,4,8.2,0
102,1,6,1.3,9.4,4.4,12.6,8.4,18.9,1,1.3,0
103,5,12,1.1,29.0,5.2,14.9,16.5,7.8,1,1.1,0
104,7,6,1.3,12.0,4.3,4.5,13.7,96.0,1,1.3,0
105,20,7,1.6,16.6,4.1,4.0,5.4,0.0,3,4.1,0
106,1,7,2.1,41.5,1.9,4.0,24.9,24.9,2,41.5,1
107,7,7,1.1,21.0,12.4,4.6,11.5,18.6,2,21.0,0
108,20,8,1.0,15.6,7.8,20.5,13.1,41.1,3,7.8,0
109,1,8,2.1,19.8,14.9,14.9,1.6,14.9,1,2.1,0
110,7,8,4.0,1.2,13.7,55.1,12.2,7.8,3,13.7,0
111,20,9,2.9,3.7,9.7,10.8,11.6,2.2,1,2.9,0
112,1,9,10.8,1.6,3.1,7.1,8.2,16.9,1,10.8,1
113,7,9,2.0,15.1,9.7,2.3,18.5,5.3,6,5.3,0
114,20,10,1.5,6.3,5.9,10.9,4.6,18.5,1,1.5,0
115,1,10,3.1,1.4,7.0,14.0,15.3,35.7,3,7.0,0
116,7,10,1.4,5.2,5.1,19.3,5.9,19.3,4,19.3,0
117,20,11,1.1,10.9,9.8,19.6,4.9,24.6,4,19.6,0
118,1,11,1.8,2.4,6.5,6.1,28.9,28.9,3,6.5,0
119,7,11,1.5,3.8,12.0,4.8,9.2,40.2,2,3.8,0
120,1,12,1.4,3.6,13.0,6.9,9.7,22.3,1,1.4,0
121,20,12,1.1,16.8,6.7,10.5,9.7,28.0,3,6.7,0
122,7,12,1.3,10.9,7.7,4.9,8.6,30.1,3,7.7,0
