,date,place_cd,race_no,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,2022-3-26,2,1,6.73,6.85,6.84,6.83,6.91,6.89,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,0.06,0.31,0.36,0.14,0.06,0.09,1,2,3,4,5,6,曇り,16.0,16,7.0,13.0,5.0
1,2022-3-26,2,2,6.84,6.87,6.89,6.79,6.82,6.82,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.07,0.13,-0.05,0.15,0.12,0.16,1,2,3,5,4,6,曇り,16.0,16,3.0,13.0,1.0
2,2022-3-26,2,3,6.74,6.92,6.81,6.85,6.91,6.87,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.11,0.22,0.05,0.13,0.11,0.18,1,2,3,4,5,6,曇り,16.0,16,3.0,13.0,1.0
3,2022-3-26,2,4,6.7,6.88,6.82,6.8,6.78,6.85,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.02,0.21,0.06,0.19,-0.01,0.14,1,3,4,2,6,5,曇り,16.0,16,3.0,13.0,1.0
4,2022-3-26,2,5,6.79,6.79,6.85,6.83,6.89,6.84,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.04,-0.03,-0.04,-0.07,0.04,-0.02,1,2,3,4,5,6,曇り,16.0,16,4.0,13.0,2.0
5,2022-3-26,2,6,6.87,6.9,6.91,6.82,6.94,6.86,-0.5,-0.5,-0.5,0.0,-0.5,0.0,0.08,0.02,0.05,0.01,-0.03,0.01,1,2,3,4,5,6,曇り,16.0,16,5.0,13.0,4.0
6,2022-3-26,2,7,6.85,6.93,6.98,6.92,6.97,6.97,-0.5,-0.5,0.0,0.5,0.0,0.0,0.24,0.17,0.31,0.28,0.09,0.09,1,2,3,5,4,6,曇り,16.0,16,6.0,13.0,4.0
7,2022-3-26,2,8,6.89,6.94,6.95,6.97,7.06,7.02,0.0,0.0,-0.5,0.0,0.0,-0.5,0.21,0.11,0.04,0.04,0.13,0.01,1,2,3,4,5,6,曇り,16.0,16,5.0,13.0,4.0
8,2022-3-26,2,9,6.92,6.92,7.03,6.9,6.91,6.96,0.0,0.0,-0.5,-0.5,0.5,0.0,0.14,0.01,0.07,0.08,0.28,0.16,1,2,3,4,6,5,曇り,16.0,16,6.0,13.0,4.0
9,2022-3-26,2,10,7.05,6.94,6.97,7.13,6.99,6.89,0.0,-0.5,0.0,0.0,0.0,0.5,0.23,0.13,0.12,0.18,0.12,0.16,1,3,4,5,2,6,雨,16.0,16,6.0,13.0,4.0
