,date,place_cd,race_no,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,2020-1-19,3,1,6.79,7.03,7.07,6.74,6.83,6.84,0.0,0.5,0.0,0.0,0.0,0.0,0.14,0.24,0.16,0.16,0.13,0.2,1,2,3,4,5,6,曇り,9.0,2,2.0,11.0,10.0
1,2020-1-19,3,2,6.79,6.87,6.81,6.87,6.81,6.93,0.0,0.0,0.5,0.0,0.0,0.0,0.06,0.08,0.03,0.07,-0.03,0.08,1,2,3,4,5,6,晴,8.0,12,2.0,10.0,5.0
2,2020-1-19,3,3,6.71,6.76,6.85,6.76,6.81,6.86,0.0,0.0,0.0,0.5,0.0,0.0,0.07,0.03,0.09,0.25,0.33,0.21,1,2,3,4,5,6,晴,8.0,12,2.0,10.0,10.0
3,2020-1-19,3,4,6.87,6.77,6.78,6.72,6.81,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-0.03,0.02,0.08,0.04,0.03,1,2,3,4,5,6,晴,8.0,12,2.0,11.0,5.0
4,2020-1-19,3,5,6.79,6.83,6.87,6.84,6.75,6.77,0.0,0.0,0.0,0.5,0.0,0.0,0.22,0.15,0.31,0.18,0.07,0.13,1,2,3,4,5,6,晴,9.0,12,2.0,11.0,5.0
5,2020-1-19,3,6,6.78,6.81,6.72,6.84,6.88,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.22,0.26,0.13,0.08,0.11,1,2,3,4,5,6,晴,9.0,12,2.0,11.0,5.0
6,2020-1-19,3,7,6.83,6.77,6.77,6.81,6.78,6.74,0.5,0.0,0.0,0.0,0.0,0.0,-0.04,-0.01,-0.01,0.01,-0.04,0.14,1,2,3,4,5,6,晴,9.0,2,2.0,11.0,5.0
7,2020-1-19,3,8,6.8,6.77,6.78,6.76,6.78,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.11,-0.07,-0.01,-0.15,-0.01,1,2,3,4,5,6,晴,10.0,2,2.0,11.0,5.0
8,2020-1-19,3,9,6.78,6.83,6.77,6.85,6.89,6.87,0.5,0.0,0.0,0.5,0.5,0.0,0.03,0.17,0.02,0.01,-0.01,-0.01,1,2,3,4,5,6,晴,11.0,2,3.0,11.0,5.0
9,2020-1-19,3,10,6.69,6.83,6.78,6.84,6.82,6.81,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.01,0.09,0.02,-0.03,0.07,1,2,3,4,5,6,晴,11.0,2,4.0,11.0,10.0
10,2020-1-19,3,11,6.77,6.84,6.79,6.77,6.82,6.83,0.5,0.0,0.5,0.0,0.5,0.5,0.16,0.07,0.28,-0.08,-0.11,-0.07,1,2,3,4,5,6,晴,12.0,2,3.0,11.0,10.0
11,2020-1-19,3,12,6.72,6.65,6.76,6.82,6.73,6.82,0.5,0.0,0.5,0.5,0.5,0.5,-0.06,0.02,-0.01,0.17,-0.05,0.04,1,2,3,4,5,6,晴,11.0,2,3.0,11.0,10.0
12,2020-1-19,5,1,6.68,6.67,6.74,6.88,6.77,6.75,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.04,0.01,0.1,0.16,0.08,-0.01,1,2,3,4,5,6,曇り,8.5,9,2.0,11.0,2.0
13,2020-1-19,5,2,6.76,6.82,6.78,6.73,6.84,6.72,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.05,0.14,0.09,0.01,0.03,0.01,1,2,3,4,5,6,晴,6.5,1,1.0,10.5,2.0
14,2020-1-19,5,3,6.84,6.71,6.83,6.88,6.87,6.78,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.13,0.21,0.32,0.52,0.07,0.02,1,2,3,4,5,6,晴,7.5,17,0.0,10.5,2.0
15,2020-1-19,5,4,6.75,6.71,6.79,6.83,6.85,6.85,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.03,0.03,0.01,0.2,0.29,0.23,1,2,3,4,5,6,晴,8.0,13,2.0,11.0,2.0
16,2020-1-19,5,5,6.78,6.76,6.81,6.79,6.83,6.75,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,0.11,0.05,0.17,0.13,0.12,0.2,1,2,3,4,5,6,晴,8.5,13,1.0,11.0,2.0
17,2020-1-19,5,6,6.82,6.67,6.79,6.78,6.84,6.87,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.33,0.16,0.11,0.13,0.12,0.17,1,2,3,4,5,6,晴,9.0,13,2.0,11.0,2.0
18,2020-1-19,5,7,6.77,6.86,6.7,6.86,6.84,6.78,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.04,0.16,-0.01,-0.02,-0.1,-0.05,1,2,3,5,6,4,晴,9.5,1,1.0,11.0,2.0
19,2020-1-19,5,8,6.89,6.77,6.83,6.83,6.8,6.87,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.01,0.04,0.04,-0.05,-0.08,-0.04,1,2,3,4,5,6,晴,10.0,5,1.0,11.0,2.0
20,2020-1-19,5,9,6.83,6.82,6.83,6.86,6.91,6.83,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.09,0.19,0.2,0.12,0.21,0.21,1,2,3,4,5,6,晴,10.5,7,3.0,11.0,2.0
21,2020-1-19,5,10,6.83,6.86,6.91,6.88,6.87,6.75,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.21,0.16,0.18,0.11,0.15,0.21,1,2,3,4,5,6,晴,10.5,7,2.0,11.0,2.0
22,2020-1-19,5,11,6.9,6.72,6.86,6.75,6.86,6.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.12,0.1,0.21,0.05,0.07,0.03,1,2,3,4,5,6,晴,10.0,7,2.0,11.0,2.0
23,2020-1-19,5,12,6.81,6.81,6.9,6.89,6.87,6.83,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.21,0.26,0.19,0.04,0.02,0.07,1,2,3,4,5,6,晴,9.5,7,3.0,11.0,2.0
24,2020-1-19,6,1,6.68,6.75,6.7,6.74,6.75,6.74,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.1,0.02,-0.02,0.09,0.21,0.04,1,2,3,4,5,6,曇り,10.0,1,1.0,10.0,1.0
25,2020-1-19,6,2,6.7,6.76,6.7,6.73,6.72,6.72,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.18,0.21,0.13,0.07,-0.01,0.03,1,2,3,4,5,6,晴,9.0,5,2.0,10.0,1.0
26,2020-1-19,6,3,6.75,6.71,6.77,6.73,6.73,6.74,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.08,-0.02,0.01,0.21,0.09,0.15,1,2,3,4,6,5,晴,9.0,5,3.0,10.0,2.0
27,2020-1-19,6,4,6.77,6.78,6.76,6.85,6.72,6.76,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.04,0.11,0.13,0.01,-0.08,0.06,1,2,3,4,5,6,晴,10.0,5,3.0,10.0,2.0
28,2020-1-19,6,5,6.73,6.67,6.71,6.74,6.68,6.73,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.01,0.14,0.21,0.2,0.16,0.19,1,2,3,4,5,6,晴,10.0,5,2.0,10.0,1.0
29,2020-1-19,6,6,6.69,6.7,6.76,6.68,6.76,6.78,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.13,-0.09,0.18,-0.06,-0.04,-0.06,1,2,3,4,5,6,晴,10.0,3,2.0,10.0,1.0
30,2020-1-19,6,7,6.71,6.6,6.69,6.72,6.66,6.71,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.22,0.19,0.21,0.15,0.22,0.24,1,2,3,4,5,6,晴,11.0,5,1.0,10.0,1.0
31,2020-1-19,6,8,6.71,6.62,6.73,6.72,6.68,6.71,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.16,0.08,0.15,0.25,0.15,0.03,1,2,3,4,5,6,晴,11.0,15,2.0,10.0,1.0
32,2020-1-19,6,9,6.73,6.72,6.7,6.65,6.72,6.66,-0.5,-0.5,0.0,-0.5,-0.5,0.0,-0.05,0.17,-0.01,-0.11,-0.09,-0.07,1,2,3,4,5,6,晴,11.0,1,2.0,10.0,1.0
33,2020-1-19,6,10,6.71,6.65,6.75,6.72,6.74,6.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.01,0.04,0.09,0.01,-0.01,-0.03,1,2,3,4,5,6,曇り,11.0,1,2.0,10.0,1.0
34,2020-1-19,6,11,6.6,6.66,6.69,6.72,6.68,6.68,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.1,-0.01,0.09,0.03,0.07,-0.01,1,2,3,4,5,6,曇り,10.0,1,1.0,10.0,1.0
35,2020-1-19,6,12,6.67,6.63,6.7,6.69,6.7,6.61,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.08,0.08,0.12,0.07,0.01,-0.09,1,2,3,4,5,6,曇り,10.0,1,2.0,10.0,1.0
36,2020-1-19,10,1,6.65,6.76,6.59,6.72,6.71,6.71,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.05,0.14,0.11,0.13,-0.01,-0.05,1,2,3,4,5,6,曇り,9.0,12,4.0,7.0,3.0
37,2020-1-19,10,2,6.61,6.72,6.67,6.57,6.73,6.72,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,-0.08,0.04,0.21,0.27,0.59,0.29,1,2,3,4,5,6,晴,5.0,12,2.0,6.0,2.0
38,2020-1-19,10,3,6.63,6.62,6.67,6.65,6.69,6.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.11,0.07,-0.09,0.07,-0.08,-0.06,1,2,3,6,4,5,晴,6.0,12,2.0,6.0,1.0
39,2020-1-19,10,4,6.65,6.64,6.64,6.68,6.68,6.68,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,-0.24,0.06,0.08,0.19,0.14,0.13,1,2,3,4,5,6,晴,7.0,12,2.0,6.0,2.0
40,2020-1-19,10,5,6.57,6.65,6.67,6.63,6.7,6.68,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.26,0.06,0.15,0.18,0.14,0.02,1,2,3,4,5,6,晴,8.0,12,3.0,6.0,3.0
41,2020-1-19,10,6,6.63,6.59,6.6,6.6,6.67,6.66,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.02,0.01,-0.08,0.03,0.26,0.02,1,2,3,4,5,6,晴,9.0,12,4.0,6.0,3.0
42,2020-1-19,10,7,6.67,6.7,6.67,6.65,6.63,6.77,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,0.02,-0.01,0.08,0.13,0.05,0.14,1,2,3,4,5,6,曇り,9.0,12,3.0,7.0,2.0
43,2020-1-19,10,8,6.66,6.69,6.69,6.75,6.72,6.73,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,-0.05,0.05,0.03,0.02,0.05,0.11,1,2,3,4,5,6,曇り,10.0,12,2.0,7.0,2.0
44,2020-1-19,10,9,6.75,6.62,6.66,6.61,6.67,6.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.04,-0.07,-0.08,0.0,0.11,0.04,1,2,3,4,5,6,曇り,10.0,12,2.0,7.0,2.0
45,2020-1-19,10,10,6.68,6.63,6.68,6.68,6.65,6.6,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,-0.08,-0.06,0.07,0.16,0.19,0.04,1,2,4,5,6,3,曇り,10.0,12,2.0,7.0,2.0
46,2020-1-19,10,11,6.59,6.69,6.6,6.7,6.72,6.65,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.18,0.04,0.03,0.14,0.21,0.11,1,2,3,4,6,5,曇り,10.0,12,4.0,7.0,3.0
47,2020-1-19,10,12,6.65,6.64,6.62,6.67,6.62,6.66,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.01,-0.03,-0.01,0.17,0.11,0.17,1,2,3,4,5,6,曇り,9.0,12,3.0,7.0,3.0
48,2020-1-19,11,1,6.73,6.71,6.69,6.7,6.93,6.81,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.04,0.02,0.15,0.26,0.13,0.26,1,3,4,5,6,2,曇り,8.0,15,1.0,8.0,1.0
49,2020-1-19,11,2,6.75,6.79,6.83,6.69,6.74,6.78,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.05,-0.08,-0.02,0.06,0.04,0.06,1,2,3,4,5,6,晴,7.0,13,4.0,8.0,2.0
50,2020-1-19,11,3,6.69,6.8,6.77,6.78,6.71,6.78,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,0.05,0.18,0.09,-0.05,0.0,0.03,1,2,3,4,5,6,晴,8.0,15,4.0,8.0,2.0
51,2020-1-19,11,4,6.63,6.73,6.8,6.79,6.81,6.77,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.01,-0.03,0.05,-0.01,-0.06,0.16,1,2,3,4,5,6,晴,8.0,15,4.0,8.0,2.0
52,2020-1-19,11,5,6.73,6.78,6.76,6.65,6.76,6.75,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,0.06,0.14,0.13,0.18,0.09,0.2,1,2,3,4,5,6,晴,8.0,13,4.0,8.0,2.0
