,date,place_cd,race_no,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
21,2021-7-19,3,10,6.89,6.83,6.94,6.89,6.91,7.02,0.5,1.0,0.5,0.5,0.0,0.5,0.33,0.04,0.22,0.34,0.58,0.07,1,2,3,4,5,6,晴,33.0,4,5.0,26.0,15.0
22,2021-7-19,3,11,7.13,7.06,7.07,7.2,7.15,6.95,0.5,1.0,0.5,1.0,0.5,1.0,0.22,0.24,0.39,0.2,0.12,0.01,1,2,3,4,5,6,晴,32.0,4,6.0,26.0,15.0
23,2021-7-19,3,12,6.88,7.02,7.03,6.82,7.04,7.12,1.0,0.0,1.0,1.0,0.5,0.0,0.2,0.22,0.35,0.34,0.21,0.26,1,2,3,4,5,6,晴,32.0,4,8.0,26.0,20.0
24,2021-7-19,5,1,6.71,6.85,6.83,6.63,6.83,6.85,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,-0.03,-0.05,-0.06,0.03,0.07,0.15,1,2,3,4,5,6,晴,30.0,11,2.0,28.5,2.0
25,2021-7-19,5,2,6.79,6.76,6.82,6.75,6.8,6.86,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.05,0.27,0.1,0.03,-0.04,-0.02,1,2,3,6,5,4,晴,33.0,11,1.0,27.5,2.0
26,2021-7-19,5,3,6.79,6.84,6.71,6.8,6.91,6.84,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.1,0.33,-0.03,-0.05,0.02,0.01,1,2,3,4,5,6,晴,33.0,7,2.0,28.0,2.0
27,2021-7-19,5,4,6.8,6.84,6.73,6.83,6.81,6.87,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.05,0.01,-0.05,-0.04,0.09,0.02,1,2,3,4,5,6,晴,33.0,7,3.0,28.0,2.0
28,2021-7-19,5,5,6.73,6.73,6.72,6.74,6.76,6.77,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.14,0.13,0.1,0.19,0.02,-0.1,2,3,1,4,5,6,晴,33.0,7,1.0,28.0,2.0
29,2021-7-19,5,6,6.79,6.77,6.82,6.69,6.93,6.75,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.03,0.13,0.07,0.05,0.21,-0.06,1,2,3,4,5,6,晴,33.0,7,1.0,28.0,2.0
30,2021-7-19,5,7,6.74,6.83,6.79,6.75,6.79,6.81,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.28,0.23,0.29,0.09,0.06,0.33,1,2,3,4,5,6,晴,33.0,7,2.0,28.5,2.0
