,title_x,day_x,date,place_cd,place_x,race_no,race_type_x,distance_x,toban_1_x,toban_2_x,toban_3_x,toban_4_x,toban_5_x,toban_6_x,name_1_x,name_2_x,name_3_x,name_4_x,name_5_x,name_6_x,moter_no_1_x,moter_no_2_x,moter_no_3_x,moter_no_4_x,moter_no_5_x,moter_no_6_x,boat_no_1_x,boat_no_2_x,boat_no_3_x,boat_no_4_x,boat_no_5_x,boat_no_6_x,ET_1_x,ET_2_x,ET_3_x,ET_4_x,ET_5_x,ET_6_x,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari,title_y,day_y,date_x,place_y,race_type_y,distance_y,deadline,toban_1_y,toban_2_y,toban_3_y,toban_4_y,toban_5_y,toban_6_y,name_1_y,name_2_y,name_3_y,name_4_y,name_5_y,name_6_y,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1_y,moter_no_2_y,moter_no_3_y,moter_no_4_y,moter_no_5_y,moter_no_6_y,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1_y,boat_no_2_y,boat_no_3_y,boat_no_4_y,boat_no_5_y,boat_no_6_y,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,date_y,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,夜の九州スポーツ杯,3,2021-09-18,24,大村,1,予選,1800,4919,4712,4248,4196,4213,5128,吉田翔悟,冨好祐真,岡本大,田中太一郎,重富伸也,坪井爽佑,71,43,66,72,67,38,71,63,76,74,59,58,6.84,6.89,6.92,6.84,6.96,6.89,1,2,3,4,5,6,0.21,0.27,0.25,0.22,0.21,0.22,110.7,,117.0,111.7,113.5,,1,6,4,2,3,5,1,1,4,1-4,1-4,1-4,1-5,4-5,1-4-5,1-4-5,1.4,1.0,2.8,6.8,3.6,2.7,2.7,5.5,19.0,8.2,3,3,3,3,9,11,6,逃げ,1,夜の九州スポーツ杯,3,2021-09-18,大村,予選,1800,15:15,4919,4712,4248,4196,4213,5128,吉田翔悟,冨好祐真,岡本大,田中太一,重富伸也,坪井爽佑,長崎,兵庫,長崎,佐賀,長崎,三重,B1,B1,B1,B1,B1,B1,30,31,39,39,37,24,52,53,54,52,55,56,4.84,3.66,4.76,4.37,4.36,2.34,31.07,12.79,25.0,21.54,21.05,3.45,5.06,0.0,5.27,3.88,5.06,0.0,30.97,0.0,26.19,20.0,33.06,0.0,71,43,66,72,67,38,25.0,20.0,32.43,20.0,25.0,25.58,71,63,76,74,59,58,34.09,26.83,31.82,37.5,55.1,43.9,2021-9-18,6.84,6.89,6.92,6.84,6.96,6.89,0.0,0.0,0.0,0.0,-0.5,-0.5,0.09,0.12,0.21,0.17,0.08,0.11,1,2,3,4,5,6,晴,27.0,11,4.0,25.0,3.0
1,夜の九州スポーツ杯,3,2021-09-18,24,大村,2,予選,1800,3964,4247,3843,3517,4355,5160,宮地博士,齊藤優,上之晃弘,高橋勲,小川広大,藤森陸斗,68,73,29,12,22,44,54,55,18,56,12,24,6.85,6.92,6.84,6.92,6.89,6.88,1,2,3,4,5,6,0.06,0.06,0.11,0.08,0.13,0.09,110.9,111.7,114.6,113.1,,,1,2,4,3,5,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.3,1.1,1.2,5.0,4.2,1.7,1.9,1.5,13.3,3.8,2,2,4,5,1,2,2,逃げ,1,夜の九州スポーツ杯,3,2021-09-18,大村,予選,1800,15:45,3964,4247,3843,3517,4355,5160,宮地博士,齊藤優,上之晃弘,高橋勲,小川広大,藤森陸斗,長崎,徳島,長崎,東京,福岡,福岡,B1,A2,B1,A2,B1,B2,42,39,45,53,37,22,54,54,54,57,54,54,4.19,5.58,4.94,6.54,4.49,2.34,18.89,34.86,28.75,46.46,24.76,2.99,4.51,5.77,5.59,0.0,3.91,1.86,19.75,40.38,39.16,0.0,14.29,0.0,68,73,29,12,22,44,33.33,12.5,47.92,38.64,44.68,28.26,54,55,18,56,12,24,44.44,42.22,43.59,23.81,19.51,53.19,2021-9-18,6.85,6.92,6.84,6.92,6.89,6.88,-0.5,-0.5,0.0,0.0,0.0,0.0,-0.07,0.09,0.14,0.12,0.09,0.02,1,2,3,4,5,6,晴,31.0,11,3.0,26.0,2.0
2,夜の九州スポーツ杯,3,2021-09-18,24,大村,3,予選,1800,3741,3558,3602,4166,4603,4695,松尾基成,山本浩次,奥平拓也,吉田拡郎,谷川将太,尾崎雄二,18,14,13,47,27,41,31,16,66,67,47,68,6.92,6.93,6.96,6.91,6.91,6.89,1,2,3,4,5,6,0.17,0.14,0.08,0.07,0.12,0.09,112.3,,114.0,110.7,,113.6,2,5,4,1,6,3,4,4,1,4-1,1-4,1-4,4-6,1-6,4-1-6,1-4-6,1.8,1.2,1.1,5.4,2.5,1.1,3.5,4.6,43.7,17.2,2,1,1,8,10,19,7,抜き,1,夜の九州スポーツ杯,3,2021-09-18,大村,予選,1800,16:15,3741,3558,3602,4166,4603,4695,松尾基成,山本浩次,奥平拓也,吉田拡郎,谷川将太,尾崎雄二,福岡,岡山,東京,岡山,長崎,長崎,B1,B1,A2,A1,B1,B1,47,48,51,39,33,35,56,56,52,52,52,54,4.59,6.01,5.63,5.63,5.05,4.22,25.61,42.5,35.58,27.5,31.87,18.42,4.95,5.33,4.17,7.47,4.91,4.67,28.79,38.1,16.67,56.6,25.71,27.27,18,14,13,47,27,41,37.25,25.0,30.43,34.88,28.26,37.78,31,16,66,67,47,68,43.48,23.08,20.0,25.53,26.83,35.56,2021-9-18,6.92,6.93,6.96,6.91,6.91,6.89,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.04,0.13,0.43,0.18,0.05,0.17,1,2,3,4,5,6,晴,30.0,11,3.0,25.0,2.0
3,夜の九州スポーツ杯,3,2021-09-18,24,大村,4,予選,1800,3627,4101,3501,3471,3587,4466,井上恵一,三井所尊春,川上昇平,赤峰和也,武田信一,南佑典,32,76,20,16,74,45,37,13,53,44,72,11,6.87,6.88,6.84,6.95,6.93,6.82,1,2,3,4,5,6,0.19,0.26,0.21,0.19,0.16,0.22,110.7,111.9,113.4,,114.2,,1,2,3,6,4,5,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,17.7,1.1,1.2,3.1,1.3,1.1,1.4,1.5,6.7,3.5,2,1,1,2,3,1,2,逃げ,1,夜の九州スポーツ杯,3,2021-09-18,大村,予選,1800,16:39,3627,4101,3501,3471,3587,4466,井上恵一,三井所尊,川上昇平,赤峰和也,武田信一,南佑典,福岡,佐賀,長崎,佐賀,徳島,三重,B1,A1,B1,B1,B1,A2,52,42,52,51,48,35,55,51,55,53,59,51,5.21,6.38,4.6,3.47,4.79,5.69,33.33,49.06,25.47,15.63,27.59,28.0,4.48,5.61,4.84,4.08,3.41,5.36,25.0,36.36,29.41,25.0,18.18,27.27,32,76,20,16,74,45,36.17,33.33,10.26,19.15,22.22,43.18,37,13,53,44,72,11,30.95,25.58,39.13,34.78,18.42,35.56,2021-9-18,6.87,6.88,6.84,6.95,6.93,6.82,0.0,0.0,0.0,-0.5,-0.5,0.0,0.01,-0.06,0.02,-0.03,0.03,-0.05,1,2,3,4,5,6,晴,30.0,11,5.0,25.0,4.0
4,夜の九州スポーツ杯,3,2021-09-18,24,大村,5,予選,1800,4552,3784,3257,5181,4196,4268,杉山勝匡,中島友和,田頭実,森智哉,田中太一郎,和合俊介,39,37,70,15,72,25,39,21,40,45,74,75,6.88,6.89,6.82,6.93,6.89,6.84,1,3,2,6,4,5,0.28,0.28,0.24,0.26,0.24,0.25,,113.0,109.9,,111.4,114.5,5,3,1,6,2,4,3,3,5,3-5,3-5,3-5,2-3,2-5,3-5-2,2-3-5,1.2,1.3,2.5,6.6,5.9,1.7,1.7,5.6,14.9,5.1,4,3,2,3,8,6,3,まくり,0,夜の九州スポーツ杯,3,2021-09-18,大村,予選,1800,17:12,4552,3784,3257,5181,4196,4268,杉山勝匡,中島友和,田頭実,森智哉,田中太一,和合俊介,佐賀,佐賀,福岡,岡山,佐賀,福岡,B1,A2,A1,B2,B1,B1,32,45,54,23,39,36,49,52,50,52,52,58,3.14,4.92,7.2,1.63,4.37,3.83,17.39,31.52,58.95,0.0,21.54,18.84,4.53,5.38,6.53,0.0,3.88,4.23,31.58,35.9,48.84,0.0,20.0,25.0,39,37,70,15,72,25,34.88,21.62,30.0,41.3,20.0,57.14,39,21,40,45,74,75,47.37,42.86,28.26,40.48,37.5,39.58,2021-9-18,6.88,6.89,6.82,6.93,6.89,6.84,-0.5,0.0,0.0,-0.5,0.0,-0.5,0.28,0.15,0.15,0.09,0.01,-0.02,1,3,2,6,4,5,晴,30.0,11,4.0,25.0,3.0
5,夜の九州スポーツ杯,3,2021-09-18,24,大村,6,予選,1800,3505,4640,4531,3703,5128,3574,山田竜一,山ノ内雅人,武富智亮,鳥飼眞,坪井爽佑,大神康司,46,34,30,24,38,19,60,52,15,17,22,20,6.87,6.8,6.85,6.83,6.92,6.91,1,3,4,5,6,2,0.13,0.16,0.17,0.1,0.11,0.13,,110.6,111.4,113.1,,114.2,5,1,2,3,6,4,2,2,3,2-3,2-3,2-3,2-4,3-4,2-3-4,2-3-4,3.2,2.4,1.6,13.3,6.4,1.7,2.4,2.2,27.2,7.0,6,3,1,6,5,8,4,まくり,0,夜の九州スポーツ杯,3,2021-09-18,大村,予選,1800,17:42,3505,4640,4531,3703,5128,3574,山田竜一,山ノ内雅,武富智亮,鳥飼眞,坪井爽佑,大神康司,東京,福岡,佐賀,福岡,三重,福岡,A2,A1,A2,A1,B1,A2,50,30,32,47,24,49,53,54,53,50,56,54,5.27,5.68,5.92,6.29,2.34,6.13,34.12,41.67,41.24,45.35,3.45,41.74,0.0,5.64,5.64,6.19,0.0,5.23,0.0,40.43,31.91,50.0,0.0,36.84,46,34,30,24,38,19,16.67,40.82,48.94,31.91,25.58,31.37,60,52,15,17,22,20,34.09,39.13,42.55,32.61,37.21,35.9,2021-9-18,6.87,6.8,6.85,6.83,6.92,6.91,0.0,-0.5,0.0,0.0,-0.5,-0.5,0.04,0.01,-0.01,-0.02,0.09,0.02,1,3,4,5,6,2,晴,29.0,11,5.0,25.0,4.0
6,夜の九州スポーツ杯,3,2021-09-18,24,大村,7,予選,1800,3944,4355,4213,4695,4946,5142,山口裕二,小川広大,重富伸也,尾崎雄二,船越健吾,常住蓮,17,22,67,41,36,11,19,12,59,68,51,38,6.82,6.88,6.91,6.9,6.84,6.82,1,2,3,4,5,6,0.15,0.18,0.19,0.16,0.11,0.11,110.5,113.3,112.6,113.9,,,1,3,2,4,5,6,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,1.2,1.0,1.2,2.8,3.2,1.4,1.7,5.2,11.9,4.4,1,2,1,2,9,4,1,逃げ,1,夜の九州スポーツ杯,3,2021-09-18,大村,予選,1800,18:12,3944,4355,4213,4695,4946,5142,山口裕二,小川広大,重富伸也,尾崎雄二,船越健吾,常住蓮,長崎,福岡,長崎,長崎,香川,佐賀,A1,B1,B1,B1,B2,B1,42,37,37,35,29,20,53,54,55,54,52,51,6.6,4.49,4.36,4.22,3.49,4.43,47.15,24.76,21.05,18.42,12.82,20.9,6.98,3.91,5.06,4.67,4.73,3.57,54.26,14.29,33.06,27.27,33.33,8.57,17,22,67,41,36,11,33.33,44.68,25.0,37.78,30.43,42.22,19,12,59,68,51,38,40.0,19.51,55.1,35.56,33.33,40.0,2021-9-18,6.82,6.88,6.91,6.9,6.84,6.82,0.0,-0.5,-0.5,-0.5,0.0,0.0,-0.02,0.03,0.06,0.21,0.0,0.02,1,2,3,4,5,6,晴,28.0,11,5.0,25.0,4.0
7,夜の九州スポーツ杯,3,2021-09-18,24,大村,8,予選,1800,4085,4839,4919,3558,5160,3307,荻野裕介,四宮与寛,吉田翔悟,山本浩次,藤森陸斗,上瀧和則,21,23,71,14,44,75,61,49,71,16,24,36,6.92,6.88,6.85,6.92,6.89,6.91,1,4,5,3,6,2,0.3,0.06,0.04,0.06,0.08,0.09,,112.0,113.6,114.9,,111.3,5,2,3,4,6,1,6,6,2,6-2,2-6,2-6,3-6,2-3,6-2-3,2-3-6,7.1,2.7,1.8,25.0,11.4,4.5,2.5,4.0,51.5,8.0,15,6,8,2,7,23,4,まくり,0,夜の九州スポーツ杯,3,2021-09-18,大村,予選,1800,18:42,4085,4839,4919,3558,5160,3307,荻野裕介,四宮与寛,吉田翔悟,山本浩次,藤森陸斗,上瀧和則,東京,徳島,長崎,岡山,福岡,佐賀,A2,B1,B1,B1,B2,A2,41,31,30,48,22,53,53,52,52,56,54,52,4.86,5.27,4.84,6.01,2.34,5.82,27.59,29.92,31.07,42.5,2.99,42.65,7.38,4.97,5.06,5.33,1.86,6.36,62.5,24.14,30.97,38.1,0.0,42.86,21,23,71,14,44,75,49.02,31.11,25.0,25.0,28.26,33.33,61,49,71,16,24,36,20.51,40.0,34.09,23.08,53.19,42.55,2021-9-18,6.92,6.88,6.85,6.92,6.89,6.91,-0.5,-0.5,0.0,0.0,0.0,-0.5,0.14,0.01,-0.08,0.05,0.05,-0.24,1,3,4,5,6,2,晴,28.0,11,5.0,25.0,4.0
8,夜の九州スポーツ杯,3,2021-09-18,24,大村,9,予選特賞,1800,3517,4466,3784,4346,3741,3780,高橋勲,南佑典,中島友和,前田健太郎,松尾基成,魚谷智之,12,45,37,26,18,28,56,11,21,14,31,35,6.89,6.88,6.87,6.91,6.89,6.86,1,2,3,4,5,6,0.22,0.21,0.22,0.17,0.14,0.09,109.8,113.3,110.8,,,111.7,1,4,2,6,5,3,1,1,3,1-3,1-3,1-3,1-6,3-6,1-3-6,1-3-6,1.2,1.4,5.6,3.2,3.6,2.6,2.1,7.3,7.8,4.1,2,2,3,2,5,2,2,逃げ,1,夜の九州スポーツ杯,3,2021-09-18,大村,予選特賞,1800,19:12,3517,4466,3784,4346,3741,3780,高橋勲,南佑典,中島友和,前田健太,松尾基成,魚谷智之,東京,三重,佐賀,福岡,福岡,兵庫,A2,A2,A2,B1,B1,A1,53,35,45,36,47,45,57,51,52,55,56,52,6.54,5.69,4.92,4.1,4.59,6.91,46.46,28.0,31.52,18.57,25.61,43.97,0.0,5.36,5.38,3.48,4.95,6.81,0.0,27.27,35.9,12.0,28.79,31.25,12,45,37,26,18,28,38.64,43.18,21.62,40.91,37.25,34.69,56,11,21,14,31,35,23.81,35.56,42.86,11.11,43.48,27.5,2021-9-18,6.89,6.88,6.87,6.91,6.89,6.86,-0.5,0.0,0.0,-0.5,0.0,0.0,0.06,0.02,-0.04,-0.03,0.05,0.03,1,2,3,4,5,6,晴,27.0,11,5.0,25.0,4.0
9,夜の九州スポーツ杯,3,2021-09-18,24,大村,10,予選特賞,1800,3898,3627,4640,3964,3505,4423,平田忠則,井上恵一,山ノ内雅人,宮地博士,山田竜一,坂口貴彦,31,32,34,68,46,33,46,37,52,54,60,43,6.87,6.9,6.82,6.85,6.85,6.86,1,2,3,4,5,6,0.14,0.15,0.21,0.15,0.12,0.11,107.7,,112.4,113.2,111.1,,1,5,3,4,2,6,1,1,5,1-5,1-5,1-5,1-3,3-5,1-5-3,1-3-5,2.4,1.0,5.0,8.2,10.8,2.5,1.4,5.4,20.3,4.6,3,4,4,1,8,7,2,逃げ,1,夜の九州スポーツ杯,3,2021-09-18,大村,予選特賞,1800,19:43,3898,3627,4640,3964,3505,4423,平田忠則,井上恵一,山ノ内雅,宮地博士,山田竜一,坂口貴彦,福岡,福岡,福岡,長崎,東京,岡山,A1,B1,A1,B1,A2,B1,44,52,30,42,50,32,55,55,54,54,53,55,5.98,5.21,5.68,4.19,5.27,4.68,39.8,33.33,41.67,18.89,34.12,27.43,7.27,4.48,5.64,4.51,0.0,4.89,60.61,25.0,40.43,19.75,0.0,32.14,31,32,34,68,46,33,20.0,36.17,40.82,33.33,16.67,42.86,46,37,52,54,60,43,42.55,30.95,39.13,44.44,34.09,39.53,2021-9-18,6.87,6.9,6.82,6.85,6.85,6.86,-0.5,0.0,-0.5,-0.5,0.0,-0.5,0.16,0.02,0.14,0.14,0.02,0.04,1,2,3,4,5,6,晴,27.0,11,5.0,25.0,4.0
