,class_1,class_2,class_3,class_4,class_5,class_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y
0,65.8113883008419,50.0,50.0,50.0,34.1886116991581,50.0,62.27567100694602,49.45987047569437,53.363533855903206,52.25872346527807,31.782904225692103,50.85929697048622,64.13355407656213,42.43187173184643,54.99154385672745,52.4306511895853,35.445907176627756,50.56647196865093,64.73792818704045,49.603463815595326,53.76709375184443,42.730169952580944,35.724697361431666,53.43664693150719,62.91965280125645,44.39369569972302,50.04136256412966,43.97783424414913,37.83381661018656,60.83363808055518,54.940003865636015,47.2732025822052,39.07692607201811,48.82985974886864,42.71971563210126,67.16029209917076,63.32001686382182,35.04171387028553,44.4193931164297,57.113962354110235,52.97390258365243,47.131011211700304,46.86346786771499,46.86346786771499,41.13588745223801,47.681693641354556,47.681693641354556,69.77378952962289,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,63.36306209562122,58.01783725737273,33.54723390112642,47.00858798202307,47.00858798202307,55.982824035954245,53.73926502247151,62.71350107640268
1,50.0,50.0,50.0,50.0,50.0,50.0,44.384029207891146,54.22069854562217,57.36006110021719,32.03586982648412,56.941479426271194,55.05786189351417,41.11439464709913,56.57363840812411,57.99012519823382,34.00753851051419,56.74459371037873,53.56970952565006,52.52014921120288,53.90376054284368,56.07800692113636,35.126178184861416,40.7594528922561,61.61245224769955,52.42779047819242,52.8811300977257,57.85931233486483,36.44115370634874,39.23817362309185,61.15243975977644,34.95622310759103,52.74234775060752,63.41573027762174,53.254670111904204,42.0689652235933,53.56206352868221,48.789249502637055,56.16144727498984,37.334440214917585,53.89985672331189,63.690292011961006,40.12471427218259,64.22217922250121,59.65076447241154,45.93652022214251,42.888910388749395,38.317495638659715,48.98413005553563,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,51.903467469066996,46.1930650618655,34.772260247462235,46.1930650618655,57.61386987626875,63.32427228347026
2,50.0,50.0,65.8113883008419,50.0,50.0,34.1886116991581,45.34641393244354,54.80131895858999,61.44929905509921,57.9037096702943,46.23281127864477,34.26644710492816,45.502277177208796,51.83770232982089,61.855682734797796,60.41841359746706,44.37248352696872,36.01344063373674,47.91452263851171,56.211822943042655,58.01849317064213,60.15973195890818,43.364390213446356,34.331039075448956,48.12663626201952,55.883853909883314,58.971174645989635,59.788406605547195,42.243863346791706,34.98606522976864,46.0632580888726,66.21415516624897,43.18455850639026,44.74414038043201,58.48494984335487,41.3089380147013,40.03644133227924,50.683620509095995,50.683620509095995,43.04244926507043,47.04325119000834,68.51061719444998,56.07986434174359,51.7023620156882,66.29403643587281,41.48818992155898,41.48818992155898,42.94735736357744,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,43.109381729116095,43.109381729116095,46.06250384520912,43.109381729116095,66.73435865786084,57.87499230958149
3,44.4951811743682,61.0096376512636,52.7524094128159,36.2379529359205,44.4951811743682,61.0096376512636,43.83118945079616,59.786248968348616,54.25228688343177,32.90700455589537,52.02432812197174,57.19894201955633,38.27564541422867,61.74849118810951,52.49210419141717,38.317884468320486,50.12068301169091,59.045191726233256,43.81126133467052,58.825930569373455,57.208966190251594,33.30099287037847,49.58613411724857,57.266714918077376,41.66407302843252,59.92142973954792,49.90284066551963,37.52147414766799,47.8805508009372,63.10963161789472,51.138789178492715,54.714293754771134,49.879236430031,30.532235342100236,58.120503606793946,55.61494168781096,43.35631407033795,66.79087811129433,55.75483341758813,50.55796581049896,40.1836945199427,43.35631407033795,47.90481891571644,66.19003565128205,42.19068868585219,58.1902533294721,42.19068868585219,43.33351473182504,36.63693790437878,41.98216274262727,58.01783725737273,52.67261241912424,63.36306209562122,47.32738758087576,34.51774000567656,46.12943500141927,49.03235875035488,63.54697749503346,57.74112999716198,49.03235875035488
4,61.07018606925119,47.78596278614977,47.78596278614977,61.07018606925119,47.78596278614977,34.501739503048334,59.55176377777352,56.576777606047784,49.78482804418336,55.95932764587829,45.79946921036209,32.32783371575497,60.83760995200402,56.777983748903,47.56024425245007,57.697369683134696,40.77828047785776,36.34851188565045,56.69740070352784,56.75702148130405,51.45077225922116,58.06867859238072,44.7732451482854,32.25288181528083,55.40620270010496,56.066502266529994,49.89682819274609,61.878514075167004,41.7393772992035,35.01257546624848,44.03156129482403,47.730415407838095,55.700565341832686,67.44662884952915,44.91224084554166,40.178588260434374,62.279730737753695,56.22779574047516,45.32733645142879,50.35898845925259,33.21474608944048,52.591402521649286,34.03493729494867,47.71927675642124,49.674182393774466,47.71927675642124,63.358521855247034,57.49380494318736,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,40.22117328530036,55.52716292570001,55.52716292570001,35.11917673850063,52.97616465229992,60.629159472499744
5,61.86611131336418,41.52420620473987,51.69515875905203,41.52420620473987,61.86611131336418,41.52420620473987,63.62145441825665,40.77745625133626,48.69549545660348,44.9640057161902,60.98210801650091,40.959480141112515,62.137748610337624,41.744311792810265,48.6022178796096,42.559183914585574,62.84445186639055,42.112085936266375,61.42388754291471,32.69267845692368,54.0629992646856,51.925967183909414,54.93364196426109,44.96082558730552,64.30240916695745,33.08246707473654,51.04885894693025,52.039187818696995,51.154213082224594,48.37286391045418,45.47511991186633,42.08145984576608,43.74530614167268,64.98683286210147,43.30552297975904,60.405758258834396,43.825422010318185,66.28842680364134,56.64362605061907,49.6298917644167,38.80514198309914,44.80749138790556,33.98299333153035,43.13556857065587,48.85592809510931,56.86443142934414,59.15257523912551,58.008503334234824,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,45.76210310236997,66.10400821099421,43.21936496379177,50.84757937952592,38.13388868663582,55.933055656682086
6,68.64674634957228,48.30484124094797,48.30484124094797,38.13388868663582,48.30484124094797,48.30484124094797,66.11778174121358,48.13873282103922,54.95017866744889,36.2583040191619,45.20822704990948,49.32677570122695,67.95978089652124,48.62994330218048,48.010838183500525,37.21949201762078,47.27135151396613,50.90859408621086,63.48717257916198,52.96250033530726,52.49473712446927,37.13651170195535,39.24144615072629,54.67763210837988,63.06088794649601,54.87508305544671,47.55620658463073,37.98665056128593,39.62047719941796,56.900694652722656,66.42299274442239,43.95454742484512,47.37154235862831,37.21790784029248,54.838309065784195,50.194700566027535,43.17236458167107,36.10728832906385,48.55839493473892,64.81824635149033,56.09592999024684,51.247775812788994,38.57919518559678,42.386130123731185,44.28959759279839,55.710402407201606,53.806934938134404,65.22773975253762,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,50.46284393404657,56.01697114260437,56.01697114260437,61.57109835116242,36.57752591265181,39.35458951693071
7,52.21403721385023,38.92981393074881,65.49826049695166,52.21403721385023,38.92981393074881,52.21403721385023,53.61822448058904,38.11154813520746,59.39312463680012,59.28618204131473,37.149064775838944,52.44185593024976,52.512948271780914,38.348535841582645,61.84388419751372,57.20857161390868,37.40941117315709,52.676648902056925,53.84525070987103,49.60469385225625,59.307662933239236,52.47964765402899,30.629998760556166,54.13274609004831,53.151793523299496,49.049777748814165,63.905365056085664,47.10249130448263,33.3911857222307,53.39938664508735,40.385116791471695,57.32152360783791,55.792617207377646,40.385116791471695,42.8292136429117,63.286411958929385,42.392671068666445,40.53248479713598,45.66882002449623,66.22804292103818,57.92661463465595,47.25136655400722,47.1356497586019,62.75937834804607,59.63463263015724,37.7614126049354,40.88615832282423,51.82276833543515,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,56.87858973377579,54.4508521806785,54.4508521806785,39.884426862094564,59.3063272868733,35.02895175589977
8,43.54502775632097,43.54502775632097,43.54502775632097,43.54502775632097,62.909944487358054,62.909944487358054,46.68075508382325,31.53670015376685,56.63848983235348,52.904339301654645,59.33537632674708,52.904339301654645,54.68251475614466,30.512234862378115,55.76183713299758,51.49360773362473,57.920481886703385,49.629323628151525,56.59883463814664,35.18471756338279,48.89591482708051,42.88763737444892,63.22334567566351,53.209549921277535,63.26946961323928,37.09740620730629,49.919001442217215,42.24319693703643,47.84639128718702,59.62453451301377,40.02035056363461,54.477825312316995,41.91214497852822,67.33855615118092,46.21641117021277,50.03471182412649,35.74806934231727,43.72468182015582,55.694388419553405,46.59741140401124,54.2580236276257,63.977425386336535,64.3914617384612,45.076605194736956,57.57445354655852,39.39576503481807,40.53193306680185,53.02978141862341,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,39.26541756899221,39.26541756899221,50.6314460253535,50.6314460253535,54.420122177473814,65.7861506338351
9,54.082482904638624,54.082482904638624,54.082482904638624,29.58758547680684,54.082482904638624,54.082482904638624,53.22577530098731,59.60869238591965,53.637576403241006,32.018018534921765,45.29860408260358,56.21133329232663,54.49561524250144,59.575432262708645,55.31030287781769,32.23205062024559,44.56190298330918,53.82469601341747,44.87401269672081,54.70134930182409,61.61688246837824,39.05040581962257,39.96034439416917,59.797005319285034,42.67106383081185,51.86204510931814,60.18346049440886,40.30452374113658,41.70243346852616,63.27647335579841,38.15950675241767,57.06148726301993,48.71379358477372,49.05237137032496,65.39750584521265,41.615335184251066,39.596518336187295,46.358195576064745,58.23906324046189,66.02330036538697,45.80856963785165,43.97435284404746,54.94913397732432,48.65023618800246,66.64708701463636,49.55007872933415,39.6518107746855,40.5516533160172,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,36.33058150211218,40.64723997512961,62.23053234021521,49.2805569211637,53.59721539418074,57.91387386719817
10,56.45497224367902,56.45497224367902,56.45497224367902,56.45497224367902,37.09005551264194,37.09005551264194,59.407415924030104,59.49533569902104,52.022154824791514,53.25303167466461,35.22947780152282,40.59258407596988,49.91237716517155,58.69727299248862,57.39988972841574,57.95106562491729,34.91191315115233,41.127481337854476,58.36180073358332,59.162785999790145,53.48307229395996,51.80828491916388,32.65745537258262,44.526600680920055,58.789063365832035,58.88395488489692,51.6279167270687,52.52622310754961,32.13719871114128,46.03564320351146,46.625136908708406,59.37876317635177,58.234206972845314,55.04149756306415,32.56344640848624,48.156948970544114,59.698139195999104,39.531029037960295,42.41492579055985,41.7695782655026,62.38708721707095,54.199240492907194,49.31124510767053,47.93373532301159,38.29116683039901,46.55622553835265,49.31124510767053,68.5963820928957,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,63.36306209562122,58.01783725737273,42.36552793072792,50.6940429153881,42.36552793072792,42.36552793072792,67.35107288470883,54.85830040771819
11,65.8113883008419,50.0,50.0,50.0,34.1886116991581,50.0,59.01793646052747,42.29000852229712,60.153783419296204,49.20834908934301,34.700485661433355,54.629436847102845,61.004174643128394,40.101093527891116,60.1154558786566,49.22735171743777,36.92041584451836,52.63150838836776,59.66148154085139,48.37550310375065,53.505493302432804,52.5436201401799,30.997661305714864,54.91624060707039,61.88894938552575,48.207454530079,56.444488193692436,48.207454530079,32.57748971321388,52.67416364740994,46.44166705128143,57.39575083459157,43.778731609266536,64.79150166918312,36.78997964135848,50.8023691943189,47.572894313283534,60.66277012853591,60.815936992260745,38.65387001792256,38.90129341317035,53.3932351348269,53.33793420968922,44.23447727417316,33.31032895155388,53.33793420968922,62.441391145205294,53.33793420968922,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,63.36306209562122,58.01783725737273,53.10086836473042,56.20173672946056,31.394789811618868,46.89913163526986,53.10086836473042,59.3026050941907
12,54.08248290463863,54.08248290463863,54.08248290463863,54.08248290463863,54.08248290463863,29.58758547680685,47.766634852618836,48.1853908177528,40.43840546277437,58.44491196353504,40.01964949764041,65.14500740567853,44.9106712132962,51.033821850205676,48.44095675965769,60.84681896212574,34.359704806374005,60.4080264083407,50.37304661948178,47.139975917306415,43.160811976167494,59.699212106526105,36.57032169865617,63.056631681862065,51.569682221791275,47.65698460149045,38.55190708036688,54.607776844613085,41.34143032495783,66.27221892678048,65.16002185651568,46.560937674539524,47.32958434329407,43.86526132918908,58.772676299259615,38.311518497202016,36.25830336642255,55.79403549566288,53.58937607041946,61.121962440001155,54.303849032303894,38.93247359519005,54.26098913033046,59.054601901952225,59.85353736388919,51.06524728258262,35.885473505780354,39.88015081546516,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,45.91751709536132,34.78347280998327,63.73198795196628,54.824752523663804,54.824752523663804,45.91751709536132
