,class_1,class_2,class_3,class_4,class_5,class_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y
0,70.41241452319315,45.91751709536137,45.91751709536137,45.91751709536137,45.91751709536137,45.91751709536137,66.05317352060803,49.99999999999999,45.84506097113674,35.26885253403027,52.83291297422494,49.99999999999999,65.72171453300818,48.243370571531145,48.6712370087766,34.91533105133506,54.17645183466819,48.27189500068084,65.25107508549024,56.197122729262595,41.16580376892351,37.9134131166864,48.19799977376051,51.2745855258767,57.91454518218187,59.939837859516906,35.59737779539387,40.46586980821848,49.745215584662176,56.337153770026696,40.7569161100439,54.28028326672838,47.55828093004308,57.216695149341795,63.097455162900005,37.09036938094283,63.7311933111572,41.640085917881244,46.51555475654689,59.79225520986235,38.44486340214557,49.87604740240682,47.24313804815137,34.519159808850006,57.42232063959247,53.60512716780206,62.511911935313016,44.6983424002911,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,54.33351390017448,51.083378475043766,34.83270134938989,60.8337847504362,41.33297219965132,57.58364932530549
1,55.976143046671964,67.92842914001591,44.023856953328036,44.023856953328036,44.023856953328036,44.023856953328036,51.19701318468128,68.0705725350078,39.16919395547418,48.34148775616449,50.41823352235853,42.80349904631374,49.967760844381225,68.63423194765184,40.7721616878876,48.00365228668356,50.577824866090346,42.04436836730541,45.84046672220005,69.35087220541709,40.68626244318708,45.659617449252224,48.37235654346958,50.090424636473905,44.08407476761434,68.81294876360984,42.93460742971557,46.9194275344313,43.73157145065872,53.517370053970225,56.98122650205894,37.224079563425725,38.54858103417209,50.351820703167,61.099598262660905,55.79469393451532,57.4305118152759,51.36021876322845,48.20468020381339,37.153958823050594,41.57678194447975,64.27384845015193,50.307554030455854,66.91547167507198,37.39028475130997,46.6169056649856,53.99820239592611,44.771581482250475,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,38.824940084406876,53.40110519170195,47.57063914878377,47.57063914878377,44.6554061273248,67.97727029899701
2,55.976143046671964,44.023856953328036,67.92842914001591,44.023856953328036,44.023856953328036,44.023856953328036,56.72106092404149,39.470337885668336,62.919372665101974,46.34075571913297,38.648874883841046,55.8995979222142,55.05188209875785,39.16029556425964,64.06419838503841,45.71685405026113,39.85294520023579,56.15382470144718,53.834020666960704,41.56515453268645,63.60367332943835,48.21079035541833,36.39632667056165,56.39003444493451,52.76773108881524,41.791930340043635,66.45455462253342,44.90905775269477,39.59677019028932,54.479956005623606,42.57238137507359,36.46053942963462,61.889405491224366,60.22512579933214,52.159770369392895,46.69277753534237,60.148630848293394,50.49357098729208,52.80591725652349,50.939813249775334,54.732872480882996,30.87919517723268,43.19773867060688,70.06236569302021,48.88064054073278,46.55581704840855,45.264248441561755,46.03918960566983,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,45.70155593059559,64.12345908518579,38.33279466875932,60.43907845426781,45.70155593059559,45.70155593059559
3,54.08248290463863,66.32993161855453,41.83503419072274,41.83503419072274,41.83503419072274,54.08248290463863,50.36414668548362,62.42468490870088,44.159087164842845,41.974207051941164,39.43974612097522,61.63812806805628,48.35374009066745,67.1220253315175,46.739759787400246,42.44196080841444,39.74891938810573,55.59359459389462,52.75775249890258,64.45442689079977,52.258504201687465,37.780303582448894,39.20672728877781,53.5422855373835,50.135123988645404,65.53925869422105,57.13547849005401,40.75285972877029,39.338251351089475,47.099027747219786,56.319308667611686,53.61401554939166,58.08943873261984,43.953447222908444,55.70143307888242,32.322356748585946,52.82241953470367,59.89288949317301,50.33786628006671,60.622186219658474,38.85453307828697,37.47010539411116,37.330187036733314,42.76010687813332,60.40734636268335,48.19002671953333,48.19002671953333,63.12230628338335,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,63.36306209562122,58.01783725737273,36.162031879566605,47.69367197992763,49.999999999999794,45.387343959855464,54.61265604014433,66.14429614050536
4,45.91751709536137,45.91751709536137,58.16496580927726,58.16496580927726,33.670068381445475,58.16496580927726,56.15646151897955,44.32404279469691,56.39671367581777,56.21652455818911,31.95105671752826,54.95520073478842,58.60274437993713,43.06954106793451,56.55789913608396,54.58290885397733,32.826263495465085,54.36064306660199,53.06710975812978,46.03564619322331,53.89110939464226,59.60417354112877,31.6980525179062,55.70390859496971,48.70632632773157,44.340789446280965,58.11767994099335,60.56472976243427,33.647181726584144,54.623292795975715,43.84916744674191,58.33955324745068,45.5038930318092,35.305245700737096,56.05853710229816,60.943603470962955,54.65579108686477,40.10885876981428,49.93238477674678,49.700561154164305,66.30492812163428,39.29747609077561,40.04370701918384,41.07366836202689,61.67289521888791,55.493127161829605,59.612972533201805,42.103629704869945,36.63693790437878,41.98216274262727,52.67261241912424,58.01783725737273,63.36306209562122,47.32738758087576,53.23498319610308,44.60836133982801,33.82508401948421,61.86160505237816,57.54829412424071,48.92167226796564
5,45.91751709536137,58.16496580927726,58.16496580927726,33.670068381445475,58.16496580927726,45.91751709536137,51.44195413376363,51.550100693795905,56.84928213537725,30.67781460756732,58.63370037590974,50.84714805358613,50.75561775303157,48.67508120016382,58.57574395050218,31.42525948198411,58.69477962392496,51.87351799039335,49.17339713522107,54.67080413953392,50.72701215817905,31.0080522514047,59.69017575216739,54.730558563493844,46.62964812092994,51.08180074947712,57.90142006381008,31.596234666190167,57.90142006381008,54.889476335782604,58.663291012327946,61.52037636235203,44.75400715142635,41.00858433963007,37.9114077837216,56.14233335054198,36.71758091454155,62.96732520204425,49.11531332733715,41.04406231372829,58.459058870118575,51.69665937223007,40.51316701949486,54.74341649025257,50.0,67.39252713092608,45.25658350974743,42.09430584957905,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,34.913673650037715,45.439017615127696,55.96436158021768,47.54408640814565,51.75422399418176,64.3846367522897
6,44.4951811743682,36.23795293592049,44.4951811743682,61.00963765126361,61.00963765126361,52.7524094128159,47.51381887726569,31.996619456061904,48.88550501394669,55.48674454672398,60.116185258022355,56.00112684797936,47.227270661739944,32.54568602332367,47.81233146542742,56.61577579385425,60.573540054093044,55.22539600156166,47.0988866184053,37.428508679756305,41.833903074029735,65.1502587705501,55.05008625685004,53.43835660040853,44.80353992813866,42.24100152716024,43.31538023351946,68.08416500444969,46.31347756950838,55.242435737223545,61.64356395531188,34.479209032888676,49.89475128076551,55.76661127805722,42.449253174919484,55.76661127805722,42.94361413130579,58.46250297964058,34.59721256449565,52.55423108226957,61.61014128304349,49.832297959244926,50.648203723552164,46.75898138223918,45.46257393513485,35.09131435830022,59.72305585328247,62.315870747491125,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,36.54348877919743,58.707154319343026,49.20844051642353,39.70972671350388,55.540916385036574,60.29027328649626
7,44.023856953328036,67.92842914001591,55.976143046671964,44.023856953328036,44.023856953328036,44.023856953328036,48.08940476208414,67.37645621592667,50.31692338069694,42.60210279915994,38.58170334117586,53.03340950095645,47.42559803480251,68.65771219144548,48.57104037337255,44.28659860484886,39.58784790535304,51.47120289017755,48.99042954639251,63.69631129836285,55.15289428055151,41.49743265372191,36.14029001550415,54.522642205467065,45.48897493672509,67.21458591562154,52.37604553894611,40.85309004023814,40.85309004023814,53.21421352823095,56.843039732713166,46.879866134974996,54.262577770898986,59.65265468727533,31.785658134401665,50.57620353973586,30.753177341270344,56.13446279003106,57.56917060059823,48.51746859574727,55.4823228761369,51.543397796216176,50.0,41.42507074287456,56.859943405700356,51.71498585142509,63.71988681140071,36.280113188599294,36.63693790437878,41.98216274262727,47.32738758087576,58.01783725737273,63.36306209562122,52.67261241912424,32.34756954671933,49.430566759571505,46.013967317001125,56.26376564471256,59.68036508728293,56.26376564471256
8,44.023856953328036,44.023856953328036,55.976143046671964,67.92842914001591,44.023856953328036,44.023856953328036,46.77124446370754,52.375876715385026,57.37130980927149,64.31618020808925,37.63325709684206,41.53213170670467,40.29700488554835,51.55318789720072,57.26986426408398,65.57321857383384,42.41123023611055,42.89549414322256,50.77048609621026,44.85745326482922,57.758615806024224,61.30643550485286,52.060602350329766,33.24640697775369,47.63008021359076,47.8814750196629,58.275079033207945,55.15621222037546,58.84857343456002,32.20858007860291,43.523661827403814,35.29225237657917,58.50193881406228,48.6242474730727,51.16587565437996,62.892023854502085,51.66423934416712,50.77585535261884,38.492466029477875,67.83282799034592,47.58951810293232,43.64509318045793,39.17188557432533,39.17188557432533,59.843740386976975,50.984374038697695,62.79686250307006,48.0312519226046,36.63693790437878,41.98216274262727,47.32738758087576,52.67261241912424,58.01783725737273,63.36306209562122,50.0,55.590169943749316,44.409830056250684,66.77050983124846,38.81966011250087,44.409830056250684
9,52.21403721385023,38.92981393074881,52.21403721385023,38.92981393074881,65.49826049695166,52.21403721385023,52.027598340295114,46.59442220513542,53.6811736857785,31.712244095784957,60.05925001835726,55.92531165464881,52.1074221160461,54.62925808715812,44.51834564223237,32.781202524346526,61.157749339476155,54.80602229074074,49.02987133908546,44.467644663433276,48.71523501662669,35.34319131212893,60.98605159251877,61.458006076206914,60.30536637838506,46.691451386220685,37.559483716579564,39.8844938901385,59.31560301132784,56.24360161734836,49.12771684023485,55.73275792045855,38.78358563061544,45.460532290250605,66.86271439078887,44.0326929276517,53.62341853318443,60.31280659444798,31.169372607543092,50.99225922908743,49.00774077091257,54.8944022648245,45.84040147526163,40.492346229169435,56.53651196744602,45.84040147526163,44.0577163932309,67.2326224596304,36.63693790437878,41.98216274262727,47.32738758087576,58.01783725737273,52.67261241912424,63.36306209562122,42.73758882782359,66.70354569600633,44.916312179476535,44.916312179476535,42.73758882782359,57.98865228939437
